Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t44,0.0,-1295.4881870731056,-1.9496897171201772e-5,2.0613362062035678e-5,1878.4459324752775,-999.9999576021904,1225.6123245429446,-842.4560186283375,1993.0333887239074,4299.999619071279,-1509.9999755162396,1823.729573586187,3599.9881825127877,915.3872467991814,0.0001665990224428916,-1319.9999015082606,-599.9999518277696
t45,0.0,-1235.9580057032074,-1.3224247371224347e-5,4.485324641617376e-5,1875.6306488464304,-999.9999591951595,1243.9995663290447,-962.74299612413,3322.887758759185,4299.999594904085,-1509.9999784566342,3227.014007194563,5128.254770910375,839.9042620297856,0.00015612915503793572,-1319.9999050621989,-599.9999523628286
t46,0.0,-793.6853061931832,-2.3585780835473124e-6,6.458502405280321e-5,1860.4342727335834,-999.9999581255246,1261.4159430885888,-1057.5223558898226,3702.352830297135,4299.999578306075,-1509.999979833536,4095.6239703626006,6210.118127432805,717.6809027393605,0.00015210908999542067,-1319.9999079577071,-599.999951770195
t47,0.0,-648.800332000024,-1.419200328395968e-5,4.408386086346058e-5,1849.4942807242048,-999.9999570722129,1270.4284767854792,-999.7309935389729,2649.393397500312,4299.999577185819,-1509.9999794427677,3234.36417127454,5461.919191860616,663.4098265756496,0.00016490873786867405,-1319.999903468545,-599.9999517772741
t48,0.0,-595.3790977480163,-1.6493111152410548e-5,1.7664709680550287e-5,1839.7393398751533,-999.9999552957826,1279.3934190262758,-979.9050697454047,1404.0003002949056,4299.999603298781,-1509.9999780125693,2105.1175114113985,4489.728191375525,589.5912976653029,0.00016443267838006837,-1319.9999004179087,-599.9999522569645
t49,0.0,8.699859520920614e-5,0.00017687828059153698,544.5824367686357,1760.6651559208378,-999.999943685934,1244.1631039741435,-454.0814152515756,196.10454827609777,4299.9995948867745,-1509.999964422088,1506.905471226175,3205.290689453058,1311.5643760304251,0.00017961770365627254,-309.80900346564766,-599.9999512253468
t50,0.0,472.258051703788,856.8572241112897,759.9997744924511,1376.9388794654938,-534.7131415905731,916.05356321231,-395.7705982624563,0.00028105505910394006,4299.99937121336,-1509.9990982412926,817.569370444442,2369.8869212226637,2447.874727694669,0.00030152281662960376,1197.2441383966186,-599.9999168724455
t51,0.0,0.00039499428107466085,157.8089135911765,759.9996584780952,952.2783385968885,-19.02485779984719,558.900571536216,-349.0833949532824,5.527627182573169e-5,4021.1950258923935,-1509.9992939670872,382.29631753696844,1278.0600261450152,1898.3537252138792,0.0002190205436608619,763.3212847505794,-599.999907219922
t52,0.0,0.00014941983805128448,0.00048594325658967363,759.9992770979934,745.6243628896093,-0.0005231828743774048,361.82622442399725,-382.30706197474416,5.5188316799179914e-5,3954.749759398407,-1496.1908007429013,402.1740180432034,1370.6498719163228,1619.2835698580639,0.00021167526941766093,504.01398419776046,-599.9999022099735
t53,0.0,0.00014114974209929887,0.0003876421856346521,759.9991340951119,796.4465148459002,-0.0004909824291714,447.7501397135961,-457.02668939516514,8.209607090524514e-5,4209.474944007434,-1494.6425117567169,459.3943158904065,1868.0087298268834,1493.0699447278985,0.00020203209513050427,452.60004134724886,-599.9999018447592
t54,0.0,0.00038722996006214876,563.6423847061818,759.9996544628366,985.7193091493891,-0.0004427417063331827,628.0128775425756,-524.9949761185547,0.0006308642735759549,4299.999205361652,-1324.8353108102465,529.1284921547092,2679.4808962817765,1662.4119668931053,0.00020202431358495263,725.3917130389625,-599.999909808226
t55,0.0,0.7361963684220346,856.857532496333,759.9998001885145,1649.5600456873472,-449.6769882120936,1299.9999374102779,-592.5312074660446,930.5384850989528,4299.999590858544,-1509.9999452797188,1456.7291592762874,3476.2358442177856,2199.563667789253,0.00019611968802875503,1217.9364567916236,-599.9999508120576
t56,0.0,0.00045272883759675417,477.65801180775264,759.999693267621,1656.2030204737189,-463.0055872395089,1299.999944595087,-625.4553596090279,915.6968213976572,4299.999606309655,-1509.999944701415,2231.465223059197,5071.521129233247,984.2393622345328,0.00018686647647282132,0.0021411315174706116,-599.9999506160498
t57,0.0,-47.82864120275305,-4.1055353644556604e-5,9.364934311419898e-6,1701.75035903826,96.85404072213288,1299.9999076036647,-555.8026837655672,662.0613445784447,4299.999644178795,-0.00044666326742703237,2240.078739336794,5039.299823425471,473.6850512062606,0.00021417152556616842,-1319.9999281269475,599.9965478043545
t58,0.0,-1599.9998374032043,-856.8575774160063,-692.3407852567208,1778.6843086275846,999.9999200432388,1299.9996608191286,-901.3984327640696,2821.4427779556263,4299.999555459164,0.0013713838439470807,4164.617097630838,4909.548316462341,1269.1826555422417,0.00031174931510373726,-1319.9999942237682,599.9999775908375
t59,0.0,-1599.9999008336172,-856.8578411031987,-759.9997204367888,1800.3782239919371,999.9999015573226,1274.616453661716,-748.629948435038,3970.6659266068114,4299.99959181644,1509.9998510719033,4525.230608044789,4765.987803347253,1579.2696039811021,0.0002989103046770018,-1319.9999932799547,599.9999784310535
t60,0.0,-1599.9999043396144,-856.8578474231532,-759.9997325313107,1839.0795543874924,999.9999022588412,1274.1415088521305,-816.2921606451268,3615.3829997483717,4299.999587409735,1509.9998456951264,4095.7641291568407,4259.395754913297,1621.7487570541011,0.0002728125903818807,-1319.9999938230558,599.999978371179
t61,0.0,-1599.9999083006717,-856.857853822392,-759.9997291286235,1782.2107283608457,999.9999035572334,1257.7546190001217,-780.5491271421346,3326.8757957724447,4299.999566671588,1509.9998355725506,3717.2734322739707,3800.2021132594505,1660.5742519193825,0.00029483058744088255,-1319.999995056145,599.9999782813812
t62,0.0,-1599.9999090161139,-856.8578550165602,-759.9997259128004,1796.0577511309355,999.9999029486014,1256.7988812769065,-963.6009361943436,3416.3757026776066,4299.999553837095,1509.9998337194002,3133.926449932217,3186.661343121072,1669.7688858002493,0.00028994534931623555,-1319.9999952021706,599.9999782470198
t63,0.0,-1599.9999210425176,-856.8578750130958,-759.9997938272521,1802.3040498116532,999.9999023723115,1251.0409081508003,-981.4799550304459,3801.7129678201236,4299.999556679127,1509.9998394891597,3145.65385812606,3087.2897454979025,1740.9766590364263,0.0002826863372900778,-1319.9999945247796,599.999978471962
t64,0.0,-1599.9999243478176,-856.8578801717046,-759.9998398214631,1816.7689426288844,999.999902310261,1239.0804277778602,-1052.7635008935238,4383.148568423237,4299.9995366829435,1509.9998520464749,3253.6486806092644,3034.306927332836,1843.9007779659019,0.0002308280047311018,-1319.9999938342646,599.9999767467691
t65,0.0,-1599.9998913018514,-856.8578301040785,-759.9997023665669,1356.7579685046358,999.9998475130561,821.949049009946,-779.8026339610863,3076.2649856741095,4299.999548099916,877.6654569909622,2480.052928467749,2163.674904318517,2069.4144549509206,0.0002491207437033779,-918.8518202219936,0.00012192832055668154
t66,0.0,-964.9383832908017,-2.3176201212193225e-5,1.8141777639426036e-5,1841.111147969926,-999.9999105264882,1299.9991919750018,-527.4640213381509,743.7452696066337,4299.99961629628,-1509.9999411445233,550.0739792446369,1600.2919890689252,2050.4813035910515,0.0001985131201513825,0.00043287478177268877,-599.9999532563692
