model,zone,planning_year,case,unit,value,agg_zone,scenario,configuration,child_scenario
Switch,FRCC,2050,20-week-foresight,kg,7832053.893,SOU,base,foresight,none
Switch,ISNE,2050,20-week-foresight,kg,12277030.828,NE,base,foresight,none
Switch,MISC,2050,20-week-foresight,kg,3517371.433,MISO,base,foresight,none
Switch,MISE,2050,20-week-foresight,kg,2180715.894,MISO,base,foresight,none
Switch,MISS,2050,20-week-foresight,kg,7880028.027,MISO,base,foresight,none
Switch,MISW,2050,20-week-foresight,kg,4107684.345,MISO,base,foresight,none
Switch,NWPP,2050,20-week-foresight,kg,1922114.735,WECC,base,foresight,none
Switch,NYCW,2050,20-week-foresight,kg,1105694.419,NE,base,foresight,none
Switch,NYUP,2050,20-week-foresight,kg,2450047.458,NE,base,foresight,none
Switch,PJMC,2050,20-week-foresight,kg,2818458.673,PJM,base,foresight,none
Switch,PJMD,2050,20-week-foresight,kg,1814905.637,PJM,base,foresight,none
Switch,PJME,2050,20-week-foresight,kg,13843881.948,PJM,base,foresight,none
Switch,PJMW,2050,20-week-foresight,kg,12109303.708,PJM,base,foresight,none
Switch,RMRG,2050,20-week-foresight,kg,495298.631,WECC,base,foresight,none
Switch,SPPC,2050,20-week-foresight,kg,568158.124,SPP,base,foresight,none
Switch,SPPN,2050,20-week-foresight,kg,269531.226,SPP,base,foresight,none
Switch,SPPS,2050,20-week-foresight,kg,2365093.813,SPP,base,foresight,none
Switch,SRCA,2050,20-week-foresight,kg,4737145.868,SOU,base,foresight,none
Switch,SRCE,2050,20-week-foresight,kg,4434280.353,MISO,base,foresight,none
Switch,SRSE,2050,20-week-foresight,kg,7457953.615,SOU,base,foresight,none
Switch,SRSG,2050,20-week-foresight,kg,3374986.026,WECC,base,foresight,none
Switch,TRE,2050,20-week-foresight,kg,7907985.586,TRE,base,foresight,none
Switch,TREW,2050,20-week-foresight,kg,1309046.598,TRE,base,foresight,none
TEMOA,BASN,2027,20-week-foresight,tons,20254500.0,WECC,base,foresight,none
TEMOA,CANO,2027,20-week-foresight,tons,23105900.0,CA,base,foresight,none
TEMOA,CASO,2027,20-week-foresight,tons,23230200.0,CA,base,foresight,none
TEMOA,FRCC,2027,20-week-foresight,tons,75501300.0,SOU,base,foresight,none
TEMOA,ISNE,2027,20-week-foresight,tons,30543500.0,NE,base,foresight,none
TEMOA,MISC,2027,20-week-foresight,tons,40472100.0,MISO,base,foresight,none
TEMOA,MISE,2027,20-week-foresight,tons,32481500.0,MISO,base,foresight,none
TEMOA,MISS,2027,20-week-foresight,tons,51064300.0,MISO,base,foresight,none
TEMOA,MISW,2027,20-week-foresight,tons,47515100.0,MISO,base,foresight,none
TEMOA,NWPP,2027,20-week-foresight,tons,10204000.0,WECC,base,foresight,none
TEMOA,NYCW,2027,20-week-foresight,tons,14041900.0,NE,base,foresight,none
TEMOA,NYUP,2027,20-week-foresight,tons,16497300.0,NE,base,foresight,none
TEMOA,PJMC,2027,20-week-foresight,tons,13840300.0,PJM,base,foresight,none
TEMOA,PJMD,2027,20-week-foresight,tons,19908600.0,PJM,base,foresight,none
TEMOA,PJME,2027,20-week-foresight,tons,74980700.0,PJM,base,foresight,none
TEMOA,PJMW,2027,20-week-foresight,tons,86444500.0,PJM,base,foresight,none
TEMOA,RMRG,2027,20-week-foresight,tons,6600670.0,WECC,base,foresight,none
TEMOA,SPPC,2027,20-week-foresight,tons,14243100.0,SPP,base,foresight,none
TEMOA,SPPN,2027,20-week-foresight,tons,7408260.0,SPP,base,foresight,none
TEMOA,SPPS,2027,20-week-foresight,tons,19807000.0,SPP,base,foresight,none
TEMOA,SRCA,2027,20-week-foresight,tons,39874500.0,SOU,base,foresight,none
TEMOA,SRCE,2027,20-week-foresight,tons,40654300.0,MISO,base,foresight,none
TEMOA,SRSE,2027,20-week-foresight,tons,57830100.0,SOU,base,foresight,none
TEMOA,SRSG,2027,20-week-foresight,tons,25848400.0,WECC,base,foresight,none
TEMOA,TRE,2027,20-week-foresight,tons,72367000.0,TRE,base,foresight,none
TEMOA,TREW,2027,20-week-foresight,tons,8224710.0,TRE,base,foresight,none
TEMOA,BASN,2030,20-week-foresight,tons,2327730.0,WECC,base,foresight,none
TEMOA,CANO,2030,20-week-foresight,tons,3632350.0,CA,base,foresight,none
TEMOA,CASO,2030,20-week-foresight,tons,5841520.0,CA,base,foresight,none
