model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region
GenX,SPPS_to_SRSG,2035,20-week-foresight,MW,2.0,,49.0,SPPS,SRSG
GenX,SPPS_to_TRE,2035,20-week-foresight,MW,3.0,,50.0,SPPS,TRE
GenX,SPPS_to_TREW,2035,20-week-foresight,MW,12.0,,51.0,SPPS,TREW
GenX,SRCA_to_SRCE,2035,20-week-foresight,MW,6.0,,52.0,SRCA,SRCE
GenX,SRCA_to_SRSE,2035,20-week-foresight,MW,2.0,,53.0,SRCA,SRSE
GenX,SRCE_to_SRSE,2035,20-week-foresight,MW,1.0,,54.0,SRCE,SRSE
GenX,TREW_to_TRE,2035,20-week-foresight,MW,2.0,,55.0,TREW,TRE
GenX,NWPP_to_SPPN,2035,20-week-foresight,MW,1207.0,,56.0,NWPP,SPPN
GenX,SRSG_to_TRE,2035,20-week-foresight,MW,0.0,,57.0,SRSG,TRE
GenX,BASN_to_CANO,2040,20-week-foresight,MW,2.0,,1.0,BASN,CANO
GenX,BASN_to_CASO,2040,20-week-foresight,MW,0.0,,2.0,BASN,CASO
GenX,BASN_to_NWPP,2040,20-week-foresight,MW,0.0,,3.0,BASN,NWPP
GenX,BASN_to_RMRG,2040,20-week-foresight,MW,2.0,,4.0,BASN,RMRG
GenX,BASN_to_SRSG,2040,20-week-foresight,MW,0.0,,5.0,BASN,SRSG
GenX,CANO_to_CASO,2040,20-week-foresight,MW,0.0,,6.0,CANO,CASO
GenX,CANO_to_NWPP,2040,20-week-foresight,MW,0.0,,7.0,CANO,NWPP
GenX,CASO_to_NWPP,2040,20-week-foresight,MW,0.0,,8.0,CASO,NWPP
GenX,CASO_to_SRSG,2040,20-week-foresight,MW,1263.0,,9.0,CASO,SRSG
GenX,FRCC_to_SRSE,2040,20-week-foresight,MW,1.0,,10.0,FRCC,SRSE
GenX,ISNE_to_NYCW,2040,20-week-foresight,MW,0.0,,11.0,ISNE,NYCW
GenX,ISNE_to_NYUP,2040,20-week-foresight,MW,159.0,,12.0,ISNE,NYUP
GenX,MISC_to_MISE,2040,20-week-foresight,MW,2.0,,13.0,MISC,MISE
GenX,MISC_to_MISS,2040,20-week-foresight,MW,0.0,,14.0,MISC,MISS
GenX,MISC_to_MISW,2040,20-week-foresight,MW,0.0,,15.0,MISC,MISW
GenX,MISC_to_PJMC,2040,20-week-foresight,MW,0.0,,16.0,MISC,PJMC
GenX,MISC_to_PJMW,2040,20-week-foresight,MW,1.0,,17.0,MISC,PJMW
GenX,MISC_to_SPPC,2040,20-week-foresight,MW,1.0,,18.0,MISC,SPPC
GenX,MISC_to_SPPN,2040,20-week-foresight,MW,2.0,,19.0,MISC,SPPN
GenX,MISC_to_SPPS,2040,20-week-foresight,MW,1.0,,20.0,MISC,SPPS
GenX,MISC_to_SRCE,2040,20-week-foresight,MW,0.0,,21.0,MISC,SRCE
GenX,MISE_to_MISW,2040,20-week-foresight,MW,4.0,,22.0,MISE,MISW
GenX,MISE_to_PJMW,2040,20-week-foresight,MW,0.0,,23.0,MISE,PJMW
GenX,MISS_to_SPPC,2040,20-week-foresight,MW,23.0,,24.0,MISS,SPPC
GenX,MISS_to_SPPS,2040,20-week-foresight,MW,907.0,,25.0,MISS,SPPS
GenX,MISS_to_SRCE,2040,20-week-foresight,MW,0.0,,26.0,MISS,SRCE
GenX,MISS_to_SRSE,2040,20-week-foresight,MW,1.0,,27.0,MISS,SRSE
GenX,MISW_to_NWPP,2040,20-week-foresight,MW,1.0,,28.0,MISW,NWPP
GenX,MISW_to_PJMC,2040,20-week-foresight,MW,0.0,,29.0,MISW,PJMC
GenX,MISW_to_SPPC,2040,20-week-foresight,MW,7.0,,30.0,MISW,SPPC
GenX,MISW_to_SPPN,2040,20-week-foresight,MW,0.0,,31.0,MISW,SPPN
