case,tech_type,planning_year,agg_zone,value,min,max
20-week-foresight,Natural Gas CC,2050,MISO,40069043.0,30799831.0,53419364.0
20-week-foresight,Natural Gas CC,2050,NE,42070446.333333336,35545736.0,47531753.0
20-week-foresight,Natural Gas CC,2050,PJM,61903929.333333336,48520511.0,79627726.0
20-week-foresight,Natural Gas CC,2050,SOU,44841555.666666664,33876901.0,65791524.0
20-week-foresight,Natural Gas CC,2050,SPP,8206001.0,5202190.0,12343613.0
20-week-foresight,Natural Gas CC,2050,TRE,20952531.666666668,13918634.0,32703816.0
20-week-foresight,Natural Gas CC,2050,WECC,19908583.666666668,15696358.0,26043707.0
20-week-foresight,Natural Gas CT,2027,CA,97457.5,79172.0,115743.0
20-week-foresight,Natural Gas CT,2027,MISO,2057626.0,825028.0,3056158.0
20-week-foresight,Natural Gas CT,2027,NE,2657284.6666666665,1553059.0,4587733.0
20-week-foresight,Natural Gas CT,2027,PJM,1443245.0,528078.0,2275041.0
20-week-foresight,Natural Gas CT,2027,SOU,73886.66666666667,5139.0,115236.0
20-week-foresight,Natural Gas CT,2027,SPP,91360.33333333333,25870.0,129398.0
20-week-foresight,Natural Gas CT,2027,TRE,196732.0,155909.0,264350.0
20-week-foresight,Natural Gas CT,2027,WECC,139027.0,135999.0,142055.0
20-week-foresight,Natural Gas CT,2030,CA,33879.5,19830.0,47929.0
20-week-foresight,Natural Gas CT,2030,MISO,2541665.6666666665,70241.0,7403069.0
20-week-foresight,Natural Gas CT,2030,NE,1031058.0,558378.0,1855917.0
20-week-foresight,Natural Gas CT,2030,PJM,1337885.6666666667,125148.0,3752314.0
20-week-foresight,Natural Gas CT,2030,SOU,103910.66666666667,43116.0,193000.0
20-week-foresight,Natural Gas CT,2030,SPP,312308.0,30355.0,845014.0
20-week-foresight,Natural Gas CT,2030,TRE,1023491.3333333334,17495.0,3013320.0
20-week-foresight,Natural Gas CT,2030,WECC,53627.5,32900.0,74355.0
20-week-foresight,Natural Gas CT,2035,CA,110331.0,31632.0,153655.0
