case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2045,Hydro,CA,11792.7
20-week-foresight,2045,Hydro,MISO,8437.0
20-week-foresight,2045,Hydro,NE,7884.0
20-week-foresight,2045,Hydro,PJM,7308.3
20-week-foresight,2045,Hydro,SOU,9244.7
20-week-foresight,2045,Hydro,SPP,4882.0
20-week-foresight,2045,Hydro,TRE,304.3
20-week-foresight,2045,Hydro,WECC,35808.7
20-week-foresight,2045,Hydrogen,CA,13.5
20-week-foresight,2045,Hydrogen,MISO,33.5
20-week-foresight,2045,Hydrogen,NE,35.0
20-week-foresight,2045,Hydrogen,PJM,29.0
20-week-foresight,2045,Hydrogen,SOU,18.0
20-week-foresight,2045,Hydrogen,SPP,21.0
20-week-foresight,2045,Hydrogen,TRE,12.0
20-week-foresight,2045,Hydrogen,WECC,30.5
20-week-foresight,2045,Natural Gas CC,CA,20934.0
20-week-foresight,2045,Natural Gas CC,MISO,57985.3
20-week-foresight,2045,Natural Gas CC,NE,39835.7
20-week-foresight,2045,Natural Gas CC,PJM,59048.3
20-week-foresight,2045,Natural Gas CC,SOU,63296.0
20-week-foresight,2045,Natural Gas CC,SPP,11135.0
20-week-foresight,2045,Natural Gas CC,TRE,38707.3
20-week-foresight,2045,Natural Gas CC,WECC,28499.0
20-week-foresight,2045,Natural Gas CT,CA,10268.0
20-week-foresight,2045,Natural Gas CT,MISO,31814.3
20-week-foresight,2045,Natural Gas CT,NE,3927.3
20-week-foresight,2045,Natural Gas CT,PJM,27675.0
20-week-foresight,2045,Natural Gas CT,SOU,28073.3
20-week-foresight,2045,Natural Gas CT,SPP,10117.0
20-week-foresight,2045,Natural Gas CT,TRE,9701.0
20-week-foresight,2045,Natural Gas CT,WECC,8516.3
20-week-foresight,2045,Nuclear,CA,2.5
20-week-foresight,2045,Nuclear,MISO,20324.0
20-week-foresight,2045,Nuclear,NE,6717.3
20-week-foresight,2045,Nuclear,PJM,33765.7
20-week-foresight,2045,Nuclear,SOU,23928.7
20-week-foresight,2045,Nuclear,SPP,2028.0
20-week-foresight,2045,Nuclear,TRE,5122.0
20-week-foresight,2045,Nuclear,WECC,5179.3
20-week-foresight,2045,Solar,CA,63405.0
20-week-foresight,2045,Solar,MISO,128011.3
20-week-foresight,2045,Solar,NE,42271.3
20-week-foresight,2045,Solar,PJM,148448.0
20-week-foresight,2045,Solar,SOU,143898.3
20-week-foresight,2045,Solar,SPP,41368.7
20-week-foresight,2045,Solar,TRE,51849.7
20-week-foresight,2045,Solar,WECC,109809.0
20-week-foresight,2045,Wind,CA,3855.7
20-week-foresight,2045,Wind,MISO,148981.7
20-week-foresight,2045,Wind,NE,46019.7
20-week-foresight,2045,Wind,PJM,44230.3
20-week-foresight,2045,Wind,SOU,33868.0
20-week-foresight,2045,Wind,SPP,129613.0
20-week-foresight,2045,Wind,TRE,111916.0
20-week-foresight,2045,Wind,WECC,150992.0
20-week-foresight,2050,Battery,CA,13161.3
20-week-foresight,2050,Battery,MISO,10586.3
20-week-foresight,2050,Battery,NE,15934.7
20-week-foresight,2050,Battery,PJM,19644.0
20-week-foresight,2050,Battery,SOU,11983.3
20-week-foresight,2050,Battery,SPP,2429.3
20-week-foresight,2050,Battery,TRE,906.7
20-week-foresight,2050,Battery,WECC,28321.3
20-week-foresight,2050,CCS,CA,31545.7
20-week-foresight,2050,CCS,MISO,83989.3
20-week-foresight,2050,CCS,NE,
20-week-foresight,2050,CCS,PJM,75076.7
20-week-foresight,2050,CCS,SOU,68968.3
20-week-foresight,2050,CCS,SPP,160.0
20-week-foresight,2050,CCS,TRE,29549.7
20-week-foresight,2050,CCS,WECC,8525.3
20-week-foresight,2050,Coal,CA,0.0
20-week-foresight,2050,Coal,MISO,9363.7
20-week-foresight,2050,Coal,NE,0.0
20-week-foresight,2050,Coal,PJM,4802.0
20-week-foresight,2050,Coal,SOU,5771.0
20-week-foresight,2050,Coal,SPP,3754.3
20-week-foresight,2050,Coal,TRE,4175.0
20-week-foresight,2050,Coal,WECC,4358.0
20-week-foresight,2050,Distributed Solar,CA,16740.7
20-week-foresight,2050,Distributed Solar,MISO,22616.3
20-week-foresight,2050,Distributed Solar,NE,9857.3
20-week-foresight,2050,Distributed Solar,PJM,23017.7
20-week-foresight,2050,Distributed Solar,SOU,17379.3
20-week-foresight,2050,Distributed Solar,SPP,6128.0
20-week-foresight,2050,Distributed Solar,TRE,10110.3
20-week-foresight,2050,Distributed Solar,WECC,10744.0
