Constraint,CapRes_1,CapRes_2,CapRes_3
t147,1.044824234128388e-10,7.193010796209457e-11,1.2002077578662992e-11
t148,1.0237378835081815e-10,7.171929433642886e-11,1.1882616643203697e-11
t149,9.84926833053774e-11,7.069089625757471e-11,1.1965152232475143e-11
t150,9.779009341554055e-11,6.998337722727408e-11,1.3013345328468895e-11
t151,1.1225477243071381e-10,6.820437310072009e-11,1.4090030408602575e-11
t152,1.3845654339075002e-10,7.35164720435955e-11,1.5166231696380513e-11
t153,1.1136789179235811e-10,1.0117925181348102e-10,1.6085901325177e-11
t154,1.1544188156483369e-10,7.585079706909002e-11,1.1846946913252797e-11
t155,1.2171458030726944e-10,7.546642804993475e-11,1.2070679388739118e-11
t156,1.2784008288548982e-10,7.450694444891901e-11,1.2019261043799083e-11
t157,1.277124306020771e-10,7.4541254441328e-11,1.123593172182818e-11
t158,1.2052575013995975e-10,7.366432178482984e-11,1.0514674090983141e-11
t159,1.1341112082845236e-10,7.020369073361937e-11,1.0321536859958893e-11
t160,1.0552875324224078e-10,6.908546932801e-11,1.094182305183188e-11
t161,1.5050106992408975e-10,7.919484110099849e-11,1.2172494120255132e-11
t162,1.2237646038639439e-10,7.892034488846219e-11,1.644682561340834e-11
t163,1.3587872127729126e-10,8.465560275021278e-11,1.846056581015768e-11
t164,1.3731572565177428e-10,8.16447481008972e-11,1.8880908375308524e-11
t165,1.322971714699043e-10,8.382507802009242e-11,1.7578280292924696e-11
t166,1.304670127913265e-10,7.987118868362204e-11,1.6961476611964335e-11
t167,1.1947462737774068e-10,7.611495317895664e-11,1.6374948361825163e-11
t168,1.0880114843511085e-10,7.340546997747717e-11,1.4541393098108897e-11
t169,1.0440391660814729e-10,7.207605114934261e-11,1.3843342018389334e-11
t170,1.0161685405527307e-10,7.074865432722867e-11,1.3405135247021898e-11
t171,1.0097815975229317e-10,6.859792858569098e-11,1.3303046906598995e-11
t172,9.848087454451486e-11,6.724115525428587e-11,1.3454564069419592e-11
t173,1.0631119707755907e-10,6.415752273511418e-11,1.357034723877981e-11
t174,1.0633037835153459e-10,6.147401086576309e-11,1.3909584806237753e-11
t175,1.0945622046256203e-10,1.0747328443109894e-10,1.9272284674509508e-11
t176,1.1114622504151813e-10,6.54448526579042e-11,1.872672899722656e-11
t177,1.1994751562283627e-10,1.4591084207025713e-10,1.844977303400246e-11
t178,1.165031590697653e-10,7.556159318912958e-11,1.2888158475734659e-11
t179,1.2166833661742115e-10,7.75452215968076e-11,1.1985712296903117e-11
t180,1.2331650159946452e-10,7.917335457503641e-11,1.2049545085706531e-11
t181,1.1897346158953416e-10,8.268611118591087e-11,1.2025746817781863e-11
t182,1.1972773957028717e-10,8.332236703019961e-11,1.1339648437179678e-11
t183,1.1843878340042312e-10,8.131264263582388e-11,1.1591813874000793e-11
t184,1.1616550733909789e-10,8.117481417619656e-11,1.191774786434741e-11
t185,1.339196169447237e-10,9.785474579673778e-11,1.4324765955046962e-11
t186,1.3293629286781205e-10,1.291790460528673e-10,2.496975790915025e-11
t187,1.4648197778733826e-10,1.4741942014170296e-10,2.5590269370526317e-11
t188,1.4532738173611895e-10,1.4477430971901305e-10,2.5616445032900777e-11
t189,1.4193511717487236e-10,1.4322392123090502e-10,2.570014194999315e-11
t190,1.3823365590326923e-10,1.3737794782762696e-10,2.505320257490587e-11
t191,1.2477212354275732e-10,1.2123682445325588e-10,2.1830241036124125e-11
t192,1.1229703527425269e-10,1.167718138656435e-10,1.9059325364598093e-11
t193,4.877210739366104e-10,4.5386707133890575e-10,4.0108815425995494e-11
t194,4.10690835685568e-10,1.5790561500792791e-10,3.113863058719923e-11
t195,2.290918998019793e-10,2.1992602372866138e-10,3.143737047042822e-11
t196,2.4947015361468923e-10,2.0629286984025858e-10,2.2642066354851115e-11
t197,3.207980558317163e-10,1.1495785398389027e-10,1.6547351837899057e-11
t198,4.1803665305997265e-10,1.2606118452191117e-10,2.1427473591206992e-11
t199,2.5607335165059415e-10,1.8558094283634221e-10,2.8879217616390295e-11
t200,2.633649159444307e-10,1.7876048043531817e-10,1.761903034949966e-11
t201,4.2956850131080735e-10,4.4575614653777726e-10,1.161281407104169e-11
t202,5.219954483495339e-10,4.921814814138792e-10,2.0534505575518312e-11
t203,1.2154959580539221e-9,5.363037440342236e-10,3.702230560549966e-11
t204,6.3355875098959484e-9,5.607552923398936e-10,5.636434847750626e-11
t205,0.011446626806710391,3.596818719878541e-10,5.907905220499319e-11
t206,0.011446627542411027,3.314253121842872e-10,7.644802206421379e-11
t207,0.011446628119805879,3.9113812393194623e-10,1.4146878741575453e-10
t208,0.011446641403296964,4.682129934908506e-10,1.4277418963365736e-10
t209,0.011446632844971874,1.8006682840312936e-9,2.752982738510635e-10
t210,0.011447086750581576,5.066679560202227e-8,3.097144935527261e-10
