Constraint,CapRes_1,CapRes_2,CapRes_3
t269,1.7436184267460748e-10,2.1920720459641038e-10,3.641102887903674e-11
t270,1.8447360271018926e-10,2.5043712635849297e-10,4.348784199689552e-11
t271,1.4604082785038263e-10,2.3224963137062443e-10,5.127218344068382e-11
t272,2.0353450777910345e-10,2.530561793381997e-10,7.982638673489775e-11
t273,3.258133699447871e-10,2.3598754245289543e-9,5.853971403969181e-11
t274,1.1116545177420693e-9,1.217517345346965e-9,7.405584971562896e-11
t275,6.831314880786789e-9,2.9037403782902514e-9,1.6393654590388664e-10
t276,0.013481271106965445,0.01605282587946525,9.170458162239748e-10
t277,0.23253065274620902,0.2244931425816326,1.2931407993402203e-9
t278,1.67916025389024,0.3507942890704321,7.77851260023165e-9
t279,2.676414891524915,0.3507956526908554,0.008681771427243084
t280,3.0910040810591766,0.3507956562650025,1.7459526446610278
t281,3.0910041248117723,1.0037283250344327,1.7459526837928645
t282,3.091004117735532,1.0037283286207295,1.7459526847678593
t283,2.6764144229464675,1.0037283299376416,1.7459526844928615
t284,2.1369203775893335,1.9400968112347703,2.076028528972123
t285,0.985015025814361,0.9819442556152005,1.3056568112962421
t286,0.9588846919702145,0.9630713091828287,1.4671061722520051
t287,4.765490459550441e-9,0.007323197608662546,4.153613615491423e-10
t288,7.45043122117414e-10,3.818587790076748e-10,7.409254081590363e-11
t289,2.4545869782946804e-9,3.129252557387503e-9,7.385162721917578e-10
t290,2.3162487400268895e-9,1.65236037829688e-8,6.966714679604765e-10
t291,2.2877220660182805e-9,2.6728130496681626e-9,6.478250022170131e-10
t292,2.3630059405021013e-9,2.784081820606097e-9,2.0469562966104858e-9
t293,2.5118957333910155e-9,2.6777725105242503e-9,1.1141725728338473e-9
t294,2.4703126109961225e-9,2.708665769459244e-9,9.565050964030518e-10
t295,2.357168601498528e-9,2.7606387178285775e-9,1.5058563238002255e-9
t296,2.3983193901788443e-9,2.8252723230672735e-9,1.1573282609355314e-9
t297,2.6026656336856275e-9,2.9127112642269556e-9,1.011113474377132e-9
t298,2.765677491424532e-9,1.930970244063845e-8,1.1256271971009128e-9
t299,5.241347323189789e-9,2.9047603409135818e-9,5.163182506340651e-10
t300,4.352152078015216e-9,3.0360052663875087e-9,5.050890862814939e-10
t301,3.428912486882974e-9,3.182454381965223e-9,5.041096305129389e-10
t302,3.50456526383429e-9,2.7453493728107636e-9,5.069929873685537e-10
t303,3.739161805946322e-9,2.5243489444082602e-9,5.093558049467881e-10
t304,3.822595898293364e-9,2.553432196601012e-9,4.999958873899552e-10
t305,3.6583237387202787e-9,2.7680189167920185e-9,7.262269776798342e-10
t306,3.1134227683991225e-9,3.48624831770973e-9,1.1332060819303926e-9
t307,3.413992519111518e-9,4.007741354316489e-9,1.3999396290846178e-9
t308,3.250607052881688e-9,4.049553391409208e-9,1.3228595905191902e-9
t309,2.798425152039196e-9,3.835988311154762e-9,1.1394150666413884e-9
t310,2.696407548235475e-9,3.0763895363706474e-9,9.624810613841643e-10
t311,2.5787116166217835e-9,2.6114898611967647e-9,8.074364509849207e-10
t312,2.294326640598446e-9,2.3673087785614677e-9,6.711887253457267e-10
t313,2.0859996249389242e-9,2.1937853092831245e-9,5.63417480709533e-10
t314,2.0823869106735913e-9,2.0860251275014725e-9,5.323469030871975e-10
t315,2.0846237749795833e-9,2.10923267108835e-9,5.241016788119774e-10
t316,2.1495778071246874e-9,2.1465790179233073e-9,5.173208893911267e-10
t317,2.2227396920289878e-9,2.191881646956289e-9,5.250650621144164e-10
t318,2.3374416807860186e-9,2.3233798618180914e-9,5.740977473365749e-10
t319,2.496969282752799e-9,2.4267538494812896e-9,6.294904409425284e-10
t320,2.661744388488063e-9,2.672206902766709e-9,6.811002833799759e-10
t321,2.725096509202962e-9,2.506336705021597e-8,6.871737487027939e-10
t322,2.3038877239538586e-9,2.6890958308935697e-9,6.909979701504701e-10
t323,2.507565483440904e-9,2.8330618638373493e-9,6.951193337866214e-10
t324,2.759903062427909e-9,3.0751204427586766e-9,6.640061856473876e-10
