zone,value,planning_year,model,agg_zone,case
24.0,3.5803694355737683,2030,TEMOA,,full-base-50
25.0,3.8743436669815594,2030,TEMOA,,full-base-50
26.0,3.448782061918067,2030,TEMOA,,full-base-50
1.0,0.0023039011768587,2027,GenX,,full-base-50
2.0,0.0023895220562843,2027,GenX,,full-base-50
3.0,0.0027826073078443,2027,GenX,,full-base-50
4.0,0.0022057777235621,2027,GenX,,full-base-50
5.0,19105.864771091576,2027,GenX,,full-base-50
6.0,0.0022251353987044,2027,GenX,,full-base-50
7.0,0.0022953724798932,2027,GenX,,full-base-50
8.0,0.0020671658086056,2027,GenX,,full-base-50
9.0,0.0023413950812116,2027,GenX,,full-base-50
10.0,0.0026973548327989,2027,GenX,,full-base-50
11.0,2103.208738940049,2027,GenX,,full-base-50
12.0,0.0022193800886276,2027,GenX,,full-base-50
13.0,0.0021338132643727,2027,GenX,,full-base-50
14.0,0.0024485440609348,2027,GenX,,full-base-50
15.0,0.0023979729056432,2027,GenX,,full-base-50
16.0,0.0022933771815801,2027,GenX,,full-base-50
17.0,0.0020457228553606,2027,GenX,,full-base-50
18.0,0.0020688427996382,2027,GenX,,full-base-50
19.0,0.0020033172396759,2027,GenX,,full-base-50
20.0,0.0020886850569605,2027,GenX,,full-base-50
21.0,0.0021375167034775,2027,GenX,,full-base-50
22.0,0.0023480630399206,2027,GenX,,full-base-50
23.0,0.0021601163162869,2027,GenX,,full-base-50
24.0,0.002267130404291,2027,GenX,,full-base-50
25.0,0.0022909012827554,2027,GenX,,full-base-50
26.0,0.0019249106612759,2027,GenX,,full-base-50
1.0,7838.0182760806865,2040,GenX,,full-base-50
2.0,11.57327354701409,2040,GenX,,full-base-50
3.0,5250.417911023793,2040,GenX,,full-base-50
4.0,11.092676000220957,2040,GenX,,full-base-50
5.0,104039.6141594899,2040,GenX,,full-base-50
6.0,11.155531141807309,2040,GenX,,full-base-50
7.0,76.45166086331332,2040,GenX,,full-base-50
8.0,10.934199214937312,2040,GenX,,full-base-50
9.0,6833.4810628435225,2040,GenX,,full-base-50
10.0,47962.26592259888,2040,GenX,,full-base-50
11.0,34233.55736130908,2040,GenX,,full-base-50
12.0,11.007418491606597,2040,GenX,,full-base-50
13.0,11.010153961645676,2040,GenX,,full-base-50
14.0,823.1547898534985,2040,GenX,,full-base-50
15.0,11.299269678502757,2040,GenX,,full-base-50
16.0,379.1160225242728,2040,GenX,,full-base-50
17.0,11.30339379199637,2040,GenX,,full-base-50
18.0,10.9753453019096,2040,GenX,,full-base-50
19.0,10.915444310526388,2040,GenX,,full-base-50
20.0,10.933829361593336,2040,GenX,,full-base-50
21.0,1224.066591059936,2040,GenX,,full-base-50
22.0,11.845032679259464,2040,GenX,,full-base-50
23.0,11.10471128847032,2040,GenX,,full-base-50
24.0,11.103729906768352,2040,GenX,,full-base-50
25.0,9339.204117726516,2040,GenX,,full-base-50
26.0,10.90292009111315,2040,GenX,,full-base-50
1.0,23464.21030250321,2045,GenX,,full-base-50
2.0,0.1355761041819491,2045,GenX,,full-base-50
3.0,4968.858936595922,2045,GenX,,full-base-50
4.0,3854.973602018176,2045,GenX,,full-base-50
5.0,109694.28001479164,2045,GenX,,full-base-50
6.0,3646.7889140280463,2045,GenX,,full-base-50
7.0,0.151040270304017,2045,GenX,,full-base-50
8.0,0.128749940593102,2045,GenX,,full-base-50
9.0,21868.20413559375,2045,GenX,,full-base-50
10.0,21818.618681925964,2045,GenX,,full-base-50
11.0,50006.61573911796,2045,GenX,,full-base-50
12.0,0.1376856426402553,2045,GenX,,full-base-50
13.0,0.1540542646456583,2045,GenX,,full-base-50
14.0,558.7350424616968,2045,GenX,,full-base-50
15.0,460.8624951379346,2045,GenX,,full-base-50
16.0,2961.7512611122365,2045,GenX,,full-base-50
