model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,3644,3644
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,3644,3644
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,3644,3644
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3_anyQual_1,Wind,2030,20-week-foresight,MW,116,116
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,116,116
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,116,116
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,116,116
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,116,116
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,7645,7645
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,7645,7645
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,7645,7645
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,7645,7645
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,2474,2474
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,2474,2474
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,2474,2474
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,2474,2474
USENSYS,TRE,TRE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,20-week-foresight,MW,4495,4495
USENSYS,TRE,TRE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,20-week-foresight,MW,4495,4495
USENSYS,TRE,TRE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,20-week-foresight,MW,4495,4495
USENSYS,TRE,TRE_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,20-week-foresight,MW,4495,4495
USENSYS,TRE,TRE_landbasedwind_class3_moderate_31_anyQual_1,Wind,2050,20-week-foresight,MW,3241,3241
