Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,98,10563,10808,16711,32515,17250,21100,10605,17501,23507,22042,9040,7947,12773,12834,34954,36444,9341,7786,4618,12152,27885,26635,29098,12513,39326,1824
,,,,,,,,99,10090,9944,15367,33340,16836,20827,10380,17427,22938,20391,8672,7637,12469,12742,34527,35940,9016,7689,4553,12055,28109,26936,29429,12106,39182,1832
,,,,,,,,100,9819,9422,14556,34849,16628,20843,10275,17615,22719,19824,8478,7455,12309,12812,34500,36026,8945,7675,4558,12113,28811,27583,30184,11942,39351,1848
,,,,,,,,101,9760,9090,14044,37959,16759,21246,10399,17943,22906,19676,8380,7355,12361,13136,35193,36910,9112,7780,4627,12211,30782,28771,32020,11950,40038,1890
,,,,,,,,102,9748,8921,13786,42821,17160,22224,10912,18759,23691,19582,8497,7434,12689,14005,37447,39342,9166,8053,4817,12613,34170,31082,35318,12154,41741,1979
,,,,,,,,103,9968,8982,13879,44481,20155,24063,12077,20342,25683,20122,9295,7974,13581,15183,41971,43591,9289,8638,5216,13548,35802,33393,37680,12794,45504,2162
,,,,,,,,104,10426,9309,14385,42140,25528,25759,13113,22152,28429,21412,10450,8978,15059,15939,44516,45742,9721,9491,5781,14931,34521,33197,36475,13912,51563,2476
,,,,,,,,105,11344,10049,15530,37949,26182,25551,13297,22222,29589,23729,11127,9686,15453,15639,43844,44800,10416,9723,6090,15388,32092,31336,34309,15480,52432,2495
,,,,,,,,106,12198,11342,17542,34040,25046,24546,13203,21182,29040,27332,11107,9826,15131,15072,42679,43443,10696,9407,5912,14924,29751,29173,32079,15702,50170,2363
,,,,,,,,107,12237,11700,18094,31365,24044,23633,13058,20197,28127,28383,11088,9822,14764,14393,41943,42605,10554,9023,5705,14395,28042,27599,30261,15233,47979,2229
