Zone,value,zone,planning_year,model,agg_zone,case
3,9.523468910892843,CASO,2050,SWITCH,CA,full-base-200
4,9.683637543027958,FRCC,2050,SWITCH,SOU,full-base-200
5,68399.40070914547,ISNE,2050,SWITCH,NE,full-base-200
6,9.59251486374797,MISC,2050,SWITCH,MISO,full-base-200
7,9.606661619419883,MISE,2050,SWITCH,MISO,full-base-200
8,9.62012565131479,MISS,2050,SWITCH,MISO,full-base-200
9,3751.333958736207,MISW,2050,SWITCH,MISO,full-base-200
10,22975.07293792261,NWPP,2050,SWITCH,WECC,full-base-200
11,9.429812810165052,NYCW,2050,SWITCH,NE,full-base-200
12,9.113009724406725,NYUP,2050,SWITCH,NE,full-base-200
13,9.289501414215117,PJMC,2050,SWITCH,PJM,full-base-200
14,9.557078273143846,PJMD,2050,SWITCH,PJM,full-base-200
15,9.599588517872126,PJME,2050,SWITCH,PJM,full-base-200
16,9.600435014437672,PJMW,2050,SWITCH,PJM,full-base-200
17,9.468916655599193,RMRG,2050,SWITCH,WECC,full-base-200
18,9.11383084010182,SPPC,2050,SWITCH,SPP,full-base-200
19,8.974548492742308,SPPN,2050,SWITCH,SPP,full-base-200
20,9.582476376598784,SPPS,2050,SWITCH,SPP,full-base-200
21,9.615847812094731,SRCA,2050,SWITCH,SOU,full-base-200
22,9.655821194217822,SRCE,2050,SWITCH,MISO,full-base-200
23,9.474000814364016,SRSE,2050,SWITCH,SOU,full-base-200
24,9.449535698177254,SRSG,2050,SWITCH,WECC,full-base-200
25,717.7894333808055,TRE,2050,SWITCH,TRE,full-base-200
26,9.27615941404771,TREW,2050,SWITCH,TRE,full-base-200
1,5.786764542157925,BASN,2027,TEMOA,WECC,full-base-200
2,5.797794606937549,CANO,2027,TEMOA,CA,full-base-200
3,5.82412560072996,CASO,2027,TEMOA,CA,full-base-200
4,5.881782814608492,FRCC,2027,TEMOA,SOU,full-base-200
5,20746.538940983744,ISNE,2027,TEMOA,NE,full-base-200
6,5.853904911133172,MISC,2027,TEMOA,MISO,full-base-200
7,5.806537778097635,MISE,2027,TEMOA,MISO,full-base-200
8,5.849070243749419,MISS,2027,TEMOA,MISO,full-base-200
9,5.868565736296584,MISW,2027,TEMOA,MISO,full-base-200
10,5.8070343357699405,NWPP,2027,TEMOA,WECC,full-base-200
11,3076.385592865888,NYCW,2027,TEMOA,NE,full-base-200
