case,tech_type,planning_year,agg_zone,value,min,max
full-base-200,Hydrogen,2045,SPP,7257.5,0.0,14515.0
full-base-200,Hydrogen,2045,TRE,4271.5,0.0,8543.0
full-base-200,Hydrogen,2045,WECC,15215.0,0.0,30430.0
full-base-200,Hydrogen,2050,CA,6784.5,0.0,13569.0
full-base-200,Hydrogen,2050,MISO,11108.0,0.0,22216.0
full-base-200,Hydrogen,2050,NE,14482.666666666666,0.0,31218.0
full-base-200,Hydrogen,2050,PJM,10855.5,0.0,21711.0
full-base-200,Hydrogen,2050,SOU,6363.0,0.0,12726.0
full-base-200,Hydrogen,2050,SPP,6256.5,0.0,12513.0
full-base-200,Hydrogen,2050,TRE,3724.0,0.0,7448.0
full-base-200,Hydrogen,2050,WECC,14832.0,0.0,29664.0
full-base-200,Natural Gas CC,2027,CA,102366088.5,100226125.0,106191051.0
full-base-200,Natural Gas CC,2027,MISO,319055189.0,318619915.0,319494727.0
full-base-200,Natural Gas CC,2027,NE,122375474.25,117706201.0,129043903.0
full-base-200,Natural Gas CC,2027,PJM,422417095.25,421656314.0,423314116.0
full-base-200,Natural Gas CC,2027,SOU,391705345.0,391365785.0,392220231.0
full-base-200,Natural Gas CC,2027,SPP,50046853.25,49459279.0,50550529.0
full-base-200,Natural Gas CC,2027,TRE,160037375.75,159311754.0,160808605.0
full-base-200,Natural Gas CC,2027,WECC,90825169.75,90378003.0,91927402.0
full-base-200,Natural Gas CC,2030,CA,30574079.75,30279755.0,30800894.0
full-base-200,Natural Gas CC,2030,MISO,80589461.25,79865971.0,81160205.0
full-base-200,Natural Gas CC,2030,NE,45179085.5,43202190.0,47004534.0
full-base-200,Natural Gas CC,2030,PJM,151197943.5,149546417.0,152492046.0
full-base-200,Natural Gas CC,2030,SOU,68647612.0,67295561.0,70458793.0
full-base-200,Natural Gas CC,2030,SPP,14288016.25,14177143.0,14427185.0
full-base-200,Natural Gas CC,2030,TRE,44705743.0,44292602.0,45023059.0
full-base-200,Natural Gas CC,2030,WECC,22167017.0,21591689.0,23056735.0
full-base-200,Natural Gas CC,2035,CA,16377167.75,15557566.0,16840117.0
full-base-200,Natural Gas CC,2035,MISO,48373311.5,47689594.0,49371321.0
full-base-200,Natural Gas CC,2035,NE,43478946.5,42503406.0,44413501.0
full-base-200,Natural Gas CC,2035,PJM,87471008.5,85960712.0,88895476.0
full-base-200,Natural Gas CC,2035,SOU,41397538.0,40474273.0,42182397.0
full-base-200,Natural Gas CC,2035,SPP,9518463.0,9182719.0,9865662.0
full-base-200,Natural Gas CC,2035,TRE,24763352.75,23836982.0,26220596.0
full-base-200,Natural Gas CC,2035,WECC,22856154.75,22708712.0,23149390.0
full-base-200,Natural Gas CC,2040,CA,15640032.75,14941000.0,16533910.0
full-base-200,Natural Gas CC,2040,MISO,39457859.0,38309325.0,40456990.0
full-base-200,Natural Gas CC,2040,NE,39360259.5,36268586.0,41000263.0
full-base-200,Natural Gas CC,2040,PJM,66401300.5,64992735.0,68228402.0
full-base-200,Natural Gas CC,2040,SOU,38887174.25,38215954.0,39403474.0
full-base-200,Natural Gas CC,2040,SPP,7988440.25,7626073.0,8241085.0
full-base-200,Natural Gas CC,2040,TRE,20410572.75,19392510.0,20986267.0
full-base-200,Natural Gas CC,2040,WECC,22933467.75,21994581.0,23818971.0
full-base-200,Natural Gas CC,2045,CA,14673336.0,13504928.0,15538733.0
full-base-200,Natural Gas CC,2045,MISO,37284447.0,36499458.0,37914086.0
full-base-200,Natural Gas CC,2045,NE,42298075.0,38171595.0,45467121.0
full-base-200,Natural Gas CC,2045,PJM,62234559.25,58982978.0,64577750.0
full-base-200,Natural Gas CC,2045,SOU,42021080.25,40774473.0,42820250.0
full-base-200,Natural Gas CC,2045,SPP,7673690.25,7171814.0,7966354.0
full-base-200,Natural Gas CC,2045,TRE,20925009.0,19439791.0,21611711.0
full-base-200,Natural Gas CC,2045,WECC,21262953.75,19848209.0,22405628.0
full-base-200,Natural Gas CC,2050,CA,12292486.0,11864432.0,13010074.0
full-base-200,Natural Gas CC,2050,MISO,29205418.0,27486609.0,30710619.0
full-base-200,Natural Gas CC,2050,NE,40400377.5,35582839.0,45358713.0
full-base-200,Natural Gas CC,2050,PJM,52733719.75,49100048.0,56782313.0
full-base-200,Natural Gas CC,2050,SOU,38686876.5,37115994.0,40733976.0
full-base-200,Natural Gas CC,2050,SPP,6111664.25,5690843.0,6405722.0
full-base-200,Natural Gas CC,2050,TRE,16253213.0,14840167.0,17459916.0
full-base-200,Natural Gas CC,2050,WECC,17328457.5,16143685.0,18156353.0
full-base-200,Natural Gas CT,2027,CA,4088.0,0.0,8176.0
full-base-200,Natural Gas CT,2027,MISO,1644969.5,1595844.0,1710380.0
full-base-200,Natural Gas CT,2027,NE,2143567.0,2044920.0,2215144.0
full-base-200,Natural Gas CT,2027,PJM,1357728.5,1257323.0,1442798.0
full-base-200,Natural Gas CT,2027,SOU,11925.5,8575.0,18097.0
full-base-200,Natural Gas CT,2027,SPP,71079.0,62249.0,79102.0
full-base-200,Natural Gas CT,2027,TRE,720124.75,699214.0,740296.0
full-base-200,Natural Gas CT,2027,WECC,5913.0,0.0,11826.0
full-base-200,Natural Gas CT,2030,CA,21609.5,0.0,43219.0
full-base-200,Natural Gas CT,2030,MISO,938828.0,873951.0,965318.0
full-base-200,Natural Gas CT,2030,NE,699196.5,607009.0,764573.0
full-base-200,Natural Gas CT,2030,PJM,689436.5,612603.0,742499.0
full-base-200,Natural Gas CT,2030,SOU,56939.75,43497.0,90562.0
full-base-200,Natural Gas CT,2030,SPP,171541.25,145219.0,208889.0
full-base-200,Natural Gas CT,2030,TRE,153650.25,129732.0,185138.0
full-base-200,Natural Gas CT,2030,WECC,26203.666666666668,227.0,71008.0
full-base-200,Natural Gas CT,2035,CA,38979.0,20184.0,70467.0
full-base-200,Natural Gas CT,2035,MISO,659256.0,619307.0,694198.0
full-base-200,Natural Gas CT,2035,NE,448444.25,335723.0,531834.0
full-base-200,Natural Gas CT,2035,PJM,810474.75,677101.0,927847.0
full-base-200,Natural Gas CT,2035,SOU,76985.0,71047.0,83598.0
full-base-200,Natural Gas CT,2035,SPP,142616.75,132643.0,160544.0
full-base-200,Natural Gas CT,2035,TRE,112604.5,92271.0,135981.0
full-base-200,Natural Gas CT,2035,WECC,65271.5,47420.0,92043.0
full-base-200,Natural Gas CT,2040,CA,424002.0,375655.0,467543.0
full-base-200,Natural Gas CT,2040,MISO,1135262.25,1035800.0,1230125.0
full-base-200,Natural Gas CT,2040,NE,443832.75,389698.0,476302.0
full-base-200,Natural Gas CT,2040,PJM,1083508.0,806320.0,1187053.0
full-base-200,Natural Gas CT,2040,SOU,240120.75,171507.0,274194.0
full-base-200,Natural Gas CT,2040,SPP,365235.25,324202.0,387418.0
full-base-200,Natural Gas CT,2040,TRE,340284.0,330567.0,353383.0
full-base-200,Natural Gas CT,2040,WECC,318589.5,265875.0,381136.0
full-base-200,Natural Gas CT,2045,CA,505764.75,399039.0,618636.0
full-base-200,Natural Gas CT,2045,MISO,1555165.0,1450416.0,1623968.0
full-base-200,Natural Gas CT,2045,NE,479327.75,464349.0,490610.0
full-base-200,Natural Gas CT,2045,PJM,1267288.0,1062139.0,1394757.0
full-base-200,Natural Gas CT,2045,SOU,544858.5,389035.0,623730.0
full-base-200,Natural Gas CT,2045,SPP,503444.75,453496.0,539734.0
full-base-200,Natural Gas CT,2045,TRE,551071.5,490174.0,594063.0
full-base-200,Natural Gas CT,2045,WECC,414772.75,337347.0,470500.0
full-base-200,Natural Gas CT,2050,CA,363025.75,314740.0,428922.0
full-base-200,Natural Gas CT,2050,MISO,951455.75,881258.0,1027040.0
full-base-200,Natural Gas CT,2050,NE,414648.5,389116.0,464805.0
full-base-200,Natural Gas CT,2050,PJM,957287.25,882009.0,1009974.0
full-base-200,Natural Gas CT,2050,SOU,441960.0,324147.0,525787.0
full-base-200,Natural Gas CT,2050,SPP,363135.25,341326.0,383398.0
full-base-200,Natural Gas CT,2050,TRE,356899.5,311804.0,393791.0
full-base-200,Natural Gas CT,2050,WECC,287074.5,233548.0,317615.0
full-base-200,Nuclear,2027,CA,831.0,0.0,1662.0
