case,tech_type,planning_year,agg_zone,end_value,min,max
full-base-200-commit,Battery,2030,WECC,3.0,,
full-base-200-commit,CCS,2030,CA,6448.0,,
full-base-200-commit,CCS,2030,MISO,15591.5,,
full-base-200-commit,CCS,2030,NE,,,
full-base-200-commit,CCS,2030,PJM,25210.5,,
full-base-200-commit,CCS,2030,SOU,33304.0,,
full-base-200-commit,CCS,2030,SPP,6.5,,
full-base-200-commit,CCS,2030,TRE,8231.0,,
full-base-200-commit,CCS,2030,WECC,4.0,,
full-base-200-commit,Hydrogen,2030,CA,2.0,,
full-base-200-commit,Hydrogen,2030,MISO,5.0,,
full-base-200-commit,Hydrogen,2030,NE,2.0,,
full-base-200-commit,Hydrogen,2030,PJM,4.0,,
full-base-200-commit,Hydrogen,2030,SOU,3.0,,
full-base-200-commit,Hydrogen,2030,SPP,3.0,,
full-base-200-commit,Hydrogen,2030,TRE,2.0,,
full-base-200-commit,Hydrogen,2030,WECC,4.0,,
full-base-200-commit,Natural Gas CC,2030,CA,0.5,,
full-base-200-commit,Natural Gas CC,2030,MISO,0.0,,
full-base-200-commit,Natural Gas CC,2030,NE,1200.0,,
full-base-200-commit,Natural Gas CC,2030,PJM,2.0,,
full-base-200-commit,Natural Gas CC,2030,SOU,1.0,,
full-base-200-commit,Natural Gas CC,2030,SPP,1.0,,
full-base-200-commit,Natural Gas CC,2030,TRE,2.0,,
full-base-200-commit,Natural Gas CC,2030,WECC,1.5,,
full-base-200-commit,Natural Gas CT,2030,CA,1.0,,
full-base-200-commit,Natural Gas CT,2030,MISO,0.0,,
full-base-200-commit,Natural Gas CT,2030,NE,0.5,,
full-base-200-commit,Natural Gas CT,2030,PJM,0.0,,
full-base-200-commit,Natural Gas CT,2030,SOU,0.0,,
full-base-200-commit,Natural Gas CT,2030,SPP,0.0,,
full-base-200-commit,Natural Gas CT,2030,TRE,0.0,,
full-base-200-commit,Natural Gas CT,2030,WECC,0.0,,
full-base-200-commit,Nuclear,2030,CA,1.0,,
full-base-200-commit,Nuclear,2030,MISO,2.5,,
full-base-200-commit,Nuclear,2030,NE,1.0,,
full-base-200-commit,Nuclear,2030,PJM,2.0,,
full-base-200-commit,Nuclear,2030,SOU,1.5,,
full-base-200-commit,Nuclear,2030,SPP,1.5,,
full-base-200-commit,Nuclear,2030,TRE,1.0,,
full-base-200-commit,Nuclear,2030,WECC,2.0,,
full-base-200-commit,Solar,2030,CA,15934.0,,
full-base-200-commit,Solar,2030,MISO,48504.5,,
full-base-200-commit,Solar,2030,NE,7794.0,,
full-base-200-commit,Solar,2030,PJM,41230.5,,
full-base-200-commit,Solar,2030,SOU,31209.0,,
full-base-200-commit,Solar,2030,SPP,12519.5,,
full-base-200-commit,Solar,2030,TRE,8495.5,,
full-base-200-commit,Solar,2030,WECC,22036.5,,
full-base-200-commit,Wind,2030,CA,915.0,,
full-base-200-commit,Wind,2030,MISO,52477.0,,
full-base-200-commit,Wind,2030,NE,25334.0,,
full-base-200-commit,Wind,2030,PJM,19125.5,,
full-base-200-commit,Wind,2030,SOU,22861.5,,
full-base-200-commit,Wind,2030,SPP,49173.0,,
full-base-200-commit,Wind,2030,TRE,31365.5,,
full-base-200-commit,Wind,2030,WECC,41078.5,,
full-base-200-commit,Battery,2035,CA,1.5,,
full-base-200-commit,Battery,2035,MISO,4425.0,,
full-base-200-commit,Battery,2035,NE,8654.5,,
full-base-200-commit,Battery,2035,PJM,6319.0,,
full-base-200-commit,Battery,2035,SOU,5527.5,,
full-base-200-commit,Battery,2035,SPP,7.5,,
full-base-200-commit,Battery,2035,TRE,9.0,,
full-base-200-commit,Battery,2035,WECC,6.0,,
full-base-200-commit,CCS,2035,CA,11615.0,,
