case,tech_type,planning_year,value,min,max
full-current-policies,Nuclear,2050,808864654.8,803899950.0,813894627.0
full-current-policies,Solar,2050,1313635774.0,1299821919.0,1338864674.0
full-current-policies,Wind,2050,1791106550.8,1771881205.0,1824186579.0
full-current-policies-retire,Battery,2027,13330810.0,12416993.0,14048471.0
full-current-policies-retire,CCS,2027,363235.0,6691.0,719779.0
full-current-policies-retire,Coal,2027,501064903.0,454867522.0,546296390.0
full-current-policies-retire,Distributed Solar,2027,92822036.2,92130764.0,93598330.0
full-current-policies-retire,Geothermal,2027,13840579.0,7203984.0,16100880.0
full-current-policies-retire,Hydro,2027,293085432.5,262600728.0,304771439.0
full-current-policies-retire,Hydrogen,2027,38446.0,1536.0,75356.0
full-current-policies-retire,Natural Gas CC,2027,1119951577.5,1109913368.0,1128542995.0
full-current-policies-retire,Natural Gas CT,2027,25264255.5,24895365.0,25896929.0
full-current-policies-retire,Nuclear,2027,824324012.0,822048841.0,826448055.0
full-current-policies-retire,Solar,2027,286024699.5,284333611.0,289766863.0
full-current-policies-retire,Wind,2027,1127148976.0,1077511037.0,1199590009.0
full-current-policies-retire,Battery,2030,18493691.5,17352852.0,19356261.0
full-current-policies-retire,CCS,2030,626979.5,8011.0,1245948.0
full-current-policies-retire,Coal,2030,452779676.2,371638922.0,526086930.0
full-current-policies-retire,Distributed Solar,2030,139225556.2,138468434.0,141067622.0
full-current-policies-retire,Geothermal,2030,13766287.0,7143795.0,16100880.0
full-current-policies-retire,Hydro,2030,300074526.0,270146968.0,311646660.0
full-current-policies-retire,Hydrogen,2030,65044.0,2.0,130086.0
full-current-policies-retire,Natural Gas CC,2030,980471439.5,950515197.0,1011752297.0
full-current-policies-retire,Natural Gas CT,2030,19980695.0,18490527.0,21134413.0
full-current-policies-retire,Nuclear,2030,807378260.2,804442063.0,809105963.0
full-current-policies-retire,Solar,2030,459063940.8,440870812.0,485114826.0
full-current-policies-retire,Wind,2030,1420357597.0,1366347866.0,1515492781.0
full-current-policies-retire,Battery,2035,34569146.2,29576160.0,38995024.0
full-current-policies-retire,CCS,2035,8646671.2,4862661.0,12458533.0
full-current-policies-retire,Coal,2035,401102453.0,310428728.0,480705490.0
full-current-policies-retire,Distributed Solar,2035,180017349.8,177965663.0,183959316.0
full-current-policies-retire,Geothermal,2035,13457665.5,6967144.0,16100880.0
full-current-policies-retire,Hydro,2035,310497797.2,282201260.0,321798607.0
full-current-policies-retire,Hydrogen,2035,36792.0,243.0,109842.0
full-current-policies-retire,Natural Gas CC,2035,1087086964.5,1038458689.0,1138131550.0
full-current-policies-retire,Natural Gas CT,2035,20129738.2,18373380.0,20852710.0
full-current-policies-retire,Nuclear,2035,789726934.2,783136784.0,792662204.0
full-current-policies-retire,Solar,2035,881108904.2,866846746.0,888946243.0
full-current-policies-retire,Wind,2035,1819380462.5,1741086987.0,1950130453.0
full-current-policies-retire,Battery,2040,73503217.0,60109553.0,89242770.0
full-current-policies-retire,CCS,2040,87548460.0,33617523.0,142946581.0
full-current-policies-retire,Coal,2040,393181146.8,292179610.0,477894510.0
full-current-policies-retire,Distributed Solar,2040,190400586.2,188128800.0,196519966.0
full-current-policies-retire,Geothermal,2040,13379429.2,6929736.0,16100880.0
full-current-policies-retire,Hydro,2040,312316865.2,284153861.0,325525553.0
full-current-policies-retire,Hydrogen,2040,59455.3,4641.0,164413.0
full-current-policies-retire,Natural Gas CC,2040,1324691833.0,1247019005.0,1436817736.0
full-current-policies-retire,Natural Gas CT,2040,15623141.2,14578715.0,16169317.0
full-current-policies-retire,Nuclear,2040,522987012.5,432584384.0,775404113.0
full-current-policies-retire,Solar,2040,1207023292.5,1179166906.0,1233908649.0
full-current-policies-retire,Wind,2040,1990382160.8,1931636611.0,2071756586.0
full-current-policies-retire,Battery,2045,74178541.5,52761893.0,91482082.0
full-current-policies-retire,CCS,2045,50270033.7,8167798.0,117781988.0
full-current-policies-retire,Coal,2045,423431993.8,340643290.0,501124160.0
full-current-policies-retire,Distributed Solar,2045,201345489.2,199966901.0,202905697.0
full-current-policies-retire,Geothermal,2045,13763796.8,7076332.0,16100880.0
full-current-policies-retire,Hydro,2045,305704300.8,277560780.0,316090526.0
full-current-policies-retire,Hydrogen,2045,78025.0,38.0,284169.0
full-current-policies-retire,Natural Gas CC,2045,2071033012.5,1864078314.0,2318156862.0
full-current-policies-retire,Natural Gas CT,2045,14920302.2,14335512.0,15490728.0
