Zone,1,2,3,4,5,6,7,8,9,10,11
t48,-6.157345829728709e-10,-6.033514763308764e-9,-8.01199888516887e-9,-3.969613704328481e-9,-3.938099674210662e-8,-6.502935466598406e-9,-3.7167335974415247e-9,-1.1155524585232418e-9,-3.0345173066878023e-9,-5.068075762886743e-10,-1.628304696215727e-10
t49,-6.538096363000459e-10,-6.335823629760301e-9,-8.439111877659807e-9,-4.171678304314854e-9,-4.1772803607719246e-8,-6.847839647290784e-9,-3.8879728673986195e-9,-1.1663252059473136e-9,-3.176147347382187e-9,-5.229609681023274e-10,-1.687091858583233e-10
t50,-7.088261409977106e-10,-6.827980704406178e-9,-9.129589282844388e-9,-4.501626082845303e-9,-4.5006402619192455e-8,-7.396086292768006e-9,-4.1771673026576316e-9,-1.2455318141086327e-9,-3.422042662074142e-9,-5.48650727961591e-10,-1.7624707812652792e-10
t51,-8.118696241983626e-10,-7.122775046857386e-9,-9.546434685971518e-9,-4.697453023942345e-9,-4.724819934449211e-8,-7.744479316609435e-9,-4.348671009185835e-9,-1.292421237538198e-9,-3.5668992506993766e-9,-5.549153457001521e-10,-1.7982121319354282e-10
t52,-8.2960348255085e-10,-7.316829374075136e-9,-9.831779586193268e-9,-4.833510084114181e-9,-4.876026140126799e-8,-7.967606002222753e-9,-4.4634794555215834e-9,-1.3244292096617943e-9,-3.6637146757289535e-9,-5.559114039659449e-10,-1.8076627916680337e-10
t53,-8.409366807265292e-10,-7.460269234397393e-9,-1.0029082039925647e-8,-4.927627569390681e-9,-4.9697637163802374e-8,-8.125285321444275e-9,-4.546311840930537e-9,-1.3471935558823939e-9,-3.733748647646082e-9,-5.532484784021514e-10,-1.7986709493795712e-10
t54,-8.325709995011608e-10,-7.468756652361771e-9,-1.0032315042995045e-8,-4.932322026257632e-9,-5.0032860503246994e-8,-8.136916449714888e-9,-4.5494247985871305e-9,-1.3489971420013342e-9,-3.734166736988386e-9,-5.37957006375609e-10,-1.7403664132080747e-10
t55,-8.67813285052055e-10,-7.284113287331626e-9,-9.635716199327413e-9,-4.891900465527138e-9,-4.6455326555388664e-8,-7.885057288825666e-9,-4.437847358834663e-9,-1.3211673599057807e-9,-3.749006707791275e-9,-5.112259761797624e-10,-1.6546752638612908e-10
t56,-8.289596128613319e-10,-7.154799732316529e-9,-9.614178680609113e-9,-4.725262050945554e-9,-4.760993828486548e-8,-7.788037970110552e-9,-4.363455904403162e-9,-1.2996789176022412e-9,-3.5783717345032188e-9,-5.002285958627954e-10,-1.5790959715479059e-10
t57,-7.223341872908591e-10,-7.961757673885054e-9,-1.0152911034469706e-8,-5.5979164271266765e-9,-4.0202413332371435e-8,-8.528120014503769e-9,-5.1305697093182706e-9,-1.4896879047149562e-9,-4.3896728750762e-9,-5.366176388323929e-10,-1.529027133542493e-10
t58,-6.073372323060809e-10,-6.508676147942634e-9,-8.681533945453292e-9,-4.2889442115252696e-9,-4.299807856167274e-8,-7.041882317127511e-9,-3.986234365044777e-9,-1.1946610995769945e-9,-3.2535082090584256e-9,-4.764933175634276e-10,-1.4861524036608997e-10
t59,-6.394892229418545e-10,-6.134034205747722e-9,-8.144004562774786e-9,-4.033890264521308e-9,-4.004792417147048e-8,-6.614920353688481e-9,-3.762220075564837e-9,-1.1332386718817064e-9,-3.0656228045572036e-9,-4.716249334583022e-10,-1.4675164972882455e-10
t60,-6.252752141641276e-10,-5.951003329396154e-9,-7.894983255005426e-9,-3.9146265601089295e-9,-3.881543813158443e-8,-6.403066572175128e-9,-3.658581629696426e-9,-1.10305721850653e-9,-2.979682648700417e-9,-4.730530469923798e-10,-1.464712544788816e-10
t61,-5.57526722267316e-10,-5.824307059186952e-9,-7.709152176088176e-9,-3.827612168638194e-9,-3.801950040813362e-8,-6.263107578552679e-9,-3.5828625555774172e-9,-1.0824713134181375e-9,-2.9133439825625445e-9,-4.730119781790598e-10,-1.4659077721073068e-10
