model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p4_Mod_Elect_Low_RE,11,PJM_Rest_natural_gas_fired_combustion_turbine_3,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.6275914437471188
p4_Mod_Elect_Low_RE,11,PJM_Rest_natural_gas_fired_combustion_turbine_4,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.0653054807636049
p4_Mod_Elect_Low_RE,11,PJM_Rest_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,158422358.79382825
p4_Mod_Elect_Low_RE,1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,4.461425971133044
p4_Mod_Elect_Low_RE,1,NENG_Rest_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,1.0820703592320062
p4_Mod_Elect_Low_RE,1,NENG_Rest_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,all,1,0,MWh,0.4788768221230605
p4_Mod_Elect_Low_RE,1,NENG_Rest_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,all,1,0,MWh,0.5759755864411948
p4_Mod_Elect_Low_RE,2,NY_Z_A_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,2.4283935497969287
p4_Mod_Elect_Low_RE,2,NY_Z_A_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,0.9045976167612576
p4_Mod_Elect_Low_RE,2,NY_Z_A_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,all,1,0,MWh,0.4752523561001739
p4_Mod_Elect_Low_RE,2,NY_Z_A_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,all,1,0,MWh,0.4961830407622664
p4_Mod_Elect_Low_RE,3,NY_Z_B_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,2.611907994314062
p4_Mod_Elect_Low_RE,3,NY_Z_B_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,0.9323198829516934
p4_Mod_Elect_Low_RE,3,NY_Z_B_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,all,1,0,MWh,0.4818906344772251
