Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,150,9135.0,881.0,667.0,1322.0,151.0,817.0,1451.0,5574.0,1719.0,13211.0,51030.0
,,,,,,,,151,10127.0,989.0,749.0,1484.0,169.0,917.0,1632.0,6243.0,1939.0,15021.0,56563.0
,,,,,,,,152,11998.0,1127.0,853.0,1690.0,193.0,1044.0,1861.0,7100.0,2213.0,16881.0,61944.0
,,,,,,,,153,13378.0,1208.0,915.0,1812.0,207.0,1120.0,1995.0,7618.0,2370.0,17655.0,64642.0
,,,,,,,,154,13844.0,1252.0,947.0,1877.0,214.0,1160.0,2064.0,7898.0,2450.0,18051.0,66159.0
,,,,,,,,155,14353.0,1295.0,981.0,1943.0,222.0,1201.0,2137.0,8169.0,2539.0,18645.0,68361.0
,,,,,,,,156,14919.0,1325.0,1004.0,1988.0,227.0,1228.0,2187.0,8354.0,2599.0,19105.0,70337.0
,,,,,,,,157,15260.0,1344.0,1018.0,2017.0,231.0,1246.0,2220.0,8472.0,2638.0,19428.0,71951.0
,,,,,,,,158,15288.0,1354.0,1025.0,2031.0,232.0,1254.0,2236.0,8533.0,2658.0,19539.0,73056.0
,,,,,,,,159,15504.0,1370.0,1037.0,2054.0,235.0,1269.0,2263.0,8628.0,2692.0,19739.0,73884.0
,,,,,,,,160,15977.0,1409.0,1067.0,2115.0,241.0,1305.0,2330.0,8869.0,2774.0,20481.0,76082.0
,,,,,,,,161,16533.0,1458.0,1104.0,2187.0,250.0,1350.0,2413.0,9160.0,2875.0,21213.0,78567.0
,,,,,,,,162,17087.0,1493.0,1130.0,2240.0,256.0,1381.0,2472.0,9372.0,2949.0,21720.0,80029.0
,,,,,,,,163,16309.0,1407.0,1065.0,2111.0,241.0,1303.0,2329.0,8842.0,2775.0,20526.0,76256.0
,,,,,,,,164,14975.0,1302.0,985.0,1952.0,223.0,1205.0,2150.0,8198.0,2558.0,19160.0,70707.0
,,,,,,,,165,14598.0,1282.0,971.0,1924.0,220.0,1188.0,2118.0,8083.0,2518.0,19282.0,69328.0
,,,,,,,,166,14426.0,1249.0,945.0,1874.0,214.0,1157.0,2061.0,7876.0,2448.0,18663.0,67886.0
,,,,,,,,167,13415.0,1145.0,866.0,1717.0,196.0,1061.0,1887.0,7228.0,2241.0,16846.0,62412.0
,,,,,,,,168,11976.0,1035.0,784.0,1553.0,177.0,960.0,1707.0,6545.0,2024.0,15164.0,56674.0
,,,,,,,,169,10494.0,936.0,708.0,1403.0,161.0,868.0,1542.0,5917.0,1828.0,13769.0,52129.0
,,,,,,,,170,9577.0,884.0,670.0,1328.0,151.0,821.0,1456.0,5600.0,1726.0,13100.0,49377.0
,,,,,,,,171,9067.0,853.0,646.0,1279.0,146.0,791.0,1403.0,5401.0,1662.0,12637.0,47688.0
,,,,,,,,172,8865.0,840.0,636.0,1261.0,144.0,780.0,1383.0,5325.0,1638.0,12479.0,47120.0
,,,,,,,,173,8734.0,845.0,639.0,1268.0,144.0,784.0,1390.0,5351.0,1647.0,12569.0,47834.0
,,,,,,,,174,9070.0,893.0,677.0,1340.0,153.0,829.0,1471.0,5654.0,1744.0,13488.0,50904.0
,,,,,,,,175,10003.0,1006.0,762.0,1510.0,172.0,933.0,1660.0,6352.0,1973.0,15310.0,56187.0
,,,,,,,,176,11931.0,1150.0,870.0,1725.0,197.0,1065.0,1899.0,7240.0,2258.0,17169.0,61572.0
,,,,,,,,177,13383.0,1234.0,934.0,1851.0,211.0,1143.0,2038.0,7777.0,2422.0,18151.0,64907.0
,,,,,,,,178,13930.0,1285.0,973.0,1928.0,220.0,1191.0,2122.0,8107.0,2520.0,18850.0,67166.0
,,,,,,,,179,14454.0,1328.0,1005.0,1991.0,228.0,1230.0,2193.0,8365.0,2606.0,19638.0,69921.0
,,,,,,,,180,15025.0,1361.0,1030.0,2042.0,234.0,1261.0,2249.0,8570.0,2677.0,20401.0,72435.0
,,,,,,,,181,15423.0,1373.0,1039.0,2060.0,236.0,1272.0,2271.0,8636.0,2703.0,20948.0,74463.0
,,,,,,,,182,15531.0,1379.0,1045.0,2070.0,236.0,1278.0,2283.0,8673.0,2720.0,21365.0,75878.0
,,,,,,,,183,15866.0,1382.0,1047.0,2073.0,237.0,1279.0,2289.0,8678.0,2730.0,21551.0,77335.0
