Constraint,CapRes_1,CapRes_2,CapRes_3
t110,1.2421024863445223e-10,1.8202868159904596e-10,2.9898141422003135e-11
t111,1.217615217350499e-10,1.5834450056957478e-10,3.186103663204859e-11
t112,1.3088898535930402e-10,1.713406677559821e-10,3.3957622275411816e-11
t113,1.9886066074288744e-10,1.8441804142037636e-10,3.498008698867612e-11
t114,2.2310395396814688e-10,2.2751503935950044e-10,3.767830202883612e-11
t115,1.8643064236120707e-10,2.933757156889405e-10,5.619328404709876e-11
t116,2.2853835099571485e-10,4.4302127116639147e-10,8.007983841830586e-11
t117,2.8280859413777234e-10,3.744114691288762e-10,1.3195494638545497e-10
t118,2.2599734421383962e-10,2.9818822081030847e-10,8.771352622029349e-11
t119,2.422517407612671e-10,2.6750466211321835e-10,7.096239537127239e-11
t120,1.8190150640644198e-10,2.7371488334199305e-10,5.871777738006475e-11
t121,1.5377099691874716e-10,2.2882520565798244e-10,4.626522845813273e-11
t122,1.5230161225878935e-10,2.1337795728313464e-10,4.538072534194236e-11
t123,1.4810372518995333e-10,2.0122741087808753e-10,1.0414507553536385e-10
t124,1.7922049991314876e-10,2.844387387510402e-10,7.440829032389853e-11
t125,1.8320075151481687e-10,2.2561737259170778e-10,6.098108829780274e-11
t126,3.1004528615913395e-10,2.395827857435962e-10,9.343809959084545e-11
t127,2.1164226901303905e-10,2.0146644452899608e-10,4.37862730832511e-11
t128,2.2612412684570874e-10,2.186813253504072e-10,3.997271722092179e-11
t129,2.1938875989228174e-10,2.470483431060192e-10,3.950175108652886e-11
t130,2.541082072838994e-10,3.21011509931953e-10,-4.086630122365779e-11
t131,2.570089422700799e-10,2.8427716755544816e-10,5.0760141860088815e-11
t132,2.3737735873918984e-10,2.685525732146843e-10,-7.962029661130332e-11
t133,2.349533856937147e-10,1.6935335215057767e-10,4.2673157222391624e-11
t134,2.397463819394311e-10,1.9767815891534663e-10,-5.222641935319591e-11
t135,2.2560193296385438e-10,1.9888093815869716e-10,3.8832813807548164e-11
t136,2.461986287007367e-10,2.446332276972256e-10,4.1357911278062045e-11
