line_name,planning_year,case,start_region,dest_region,value
MISS_to_SRCE,2045,full-base-200,MISS,SRCE,0.0
MISC_to_SRCE,2035,full-base-200,MISC,SRCE,3.6666666666666665
MISW_to_NWPP,2027,full-base-200,MISW,NWPP,0.0
MISC_to_SRCE,2030,full-base-200,MISC,SRCE,2.5
MISW_to_NWPP,2030,full-base-200,MISW,NWPP,1.5
MISC_to_SRCE,2027,full-base-200,MISC,SRCE,0.0
MISW_to_NWPP,2035,full-base-200,MISW,NWPP,5.333333333333333
MISW_to_NWPP,2040,full-base-200,MISW,NWPP,0.0
MISC_to_SPPS,2050,full-base-200,MISC,SPPS,1101.25
MISW_to_NWPP,2045,full-base-200,MISW,NWPP,4.333333333333333
MISC_to_SPPS,2045,full-base-200,MISC,SPPS,1401.75
MISW_to_NWPP,2050,full-base-200,MISW,NWPP,0.0
MISS_to_SRSE,2050,full-base-200,MISS,SRSE,1145.0
MISW_to_PJMC,2027,full-base-200,MISW,PJMC,0.0
MISE_to_MISW,2030,full-base-200,MISE,MISW,1008.25
MISS_to_SRCE,2035,full-base-200,MISS,SRCE,4.333333333333333
MISS_to_SPPC,2030,full-base-200,MISS,SPPC,3216.75
MISE_to_PJMW,2045,full-base-200,MISE,PJMW,0.0
MISS_to_SPPC,2035,full-base-200,MISS,SPPC,459.25
MISS_to_SPPC,2040,full-base-200,MISS,SPPC,26.666666666666668
MISE_to_PJMW,2040,full-base-200,MISE,PJMW,0.5
MISS_to_SPPC,2045,full-base-200,MISS,SPPC,143.0
MISE_to_PJMW,2035,full-base-200,MISE,PJMW,0.0
MISS_to_SPPC,2050,full-base-200,MISS,SPPC,21.0
MISS_to_SPPS,2027,full-base-200,MISS,SPPS,20.666666666666668
MISE_to_PJMW,2030,full-base-200,MISE,PJMW,0.0
MISS_to_SRCE,2040,full-base-200,MISS,SRCE,0.0
MISS_to_SPPS,2030,full-base-200,MISS,SPPS,16544.75
MISS_to_SPPS,2035,full-base-200,MISS,SPPS,3636.0
MISS_to_SPPS,2040,full-base-200,MISS,SPPS,1212.3333333333333
MISE_to_MISW,2050,full-base-200,MISE,MISW,0.0
MISS_to_SPPS,2045,full-base-200,MISS,SPPS,1402.6666666666667
MISE_to_MISW,2045,full-base-200,MISE,MISW,58.5
MISS_to_SPPS,2050,full-base-200,MISS,SPPS,26.666666666666668
MISS_to_SRCE,2027,full-base-200,MISS,SRCE,0.0
MISE_to_MISW,2040,full-base-200,MISE,MISW,13.666666666666666
MISS_to_SRCE,2030,full-base-200,MISS,SRCE,0.5
MISE_to_MISW,2035,full-base-200,MISE,MISW,21.333333333333332
MISE_to_PJMW,2027,full-base-200,MISE,PJMW,0.0
MISC_to_SPPS,2040,full-base-200,MISC,SPPS,511.5
MISW_to_PJMC,2030,full-base-200,MISW,PJMC,6868.25
MISC_to_SPPS,2035,full-base-200,MISC,SPPS,391.5
MISC_to_SPPC,2040,full-base-200,MISC,SPPC,849.75
NWPP_to_RMRG,2030,full-base-200,NWPP,RMRG,2347.0
MISC_to_SPPC,2035,full-base-200,MISC,SPPC,1473.25
NWPP_to_RMRG,2035,full-base-200,NWPP,RMRG,1259.0
NWPP_to_RMRG,2040,full-base-200,NWPP,RMRG,307.3333333333333
MISC_to_SPPC,2030,full-base-200,MISC,SPPC,4687.25
NWPP_to_RMRG,2045,full-base-200,NWPP,RMRG,1327.25
MISC_to_SPPC,2027,full-base-200,MISC,SPPC,0.0
NWPP_to_RMRG,2050,full-base-200,NWPP,RMRG,106.33333333333333
NWPP_to_SPPN,2027,full-base-200,NWPP,SPPN,0.5
NWPP_to_RMRG,2027,full-base-200,NWPP,RMRG,0.0
