Constraint,CapRes_1,CapRes_2,CapRes_3
t268,1.676882239902578e-10,5.49197919436618e-10,4.242165529870067e-11
t269,1.6728574858218838e-10,5.340748840877263e-10,4.4348762147193885e-11
t270,2.3065926271160873e-10,4.942706452962651e-10,5.070175777102634e-11
t271,2.37170395639251e-10,4.4819408839494096e-10,6.904851167731051e-11
t272,3.637720568926741e-10,3.108106522073038e-10,5.0092817375936504e-11
t273,4.5587294230238813e-10,3.665971808149677e-10,5.322477094340003e-11
t274,5.551976081450092e-10,2.4752849724908903e-10,5.07416979114178e-11
t275,6.935631905739961e-10,2.99884977180938e-10,6.883993454711599e-11
t276,3.7950026582454474e-9,2.9975953824409437e-10,5.2131090777302e-11
t277,0.030711900381640716,5.064065016156189e-10,9.511813058708721e-11
t278,0.03071190311187296,6.127163286267138e-10,1.0446577214785427e-10
t279,0.030711915659236765,7.873756214425504e-10,7.667824580309764e-11
t280,0.10392123864567641,1.253601074560031e-9,7.157945995474285e-11
t281,0.22259459267297566,1.5977758289628275e-9,1.6416175342779334e-10
t282,0.07924302414813891,1.950746391081974e-9,7.854972871056333e-10
t283,0.030711905958739003,0.026767844765267623,0.02871213493994939
t284,0.31146622823421016,2.8987443364593404e-9,1.5060650810803985e-9
t285,0.2923270605923569,2.0496389843954293e-9,1.0156206606944461e-9
t286,0.2842085380412344,2.368511503731018e-9,3.856015640149603e-10
t287,5.613634006479937e-10,1.2706999035035575e-9,1.4210265566663126e-10
t288,2.1983999764794407e-10,6.295445952810248e-10,7.411488890776436e-11
t289,3.3913618300536057e-9,5.270715047969988e-9,7.943357691798708e-10
t290,3.29423285148197e-9,6.531195328990636e-9,7.737881291123e-10
t291,3.421144660728532e-9,5.097728056141182e-9,9.227915746819459e-10
t292,3.376746310697023e-9,5.133430794300919e-9,1.1057173358313335e-9
t293,3.3642632046313382e-9,4.761190442125136e-9,9.477168164786334e-10
t294,3.371500043173565e-9,4.533071379647546e-9,9.72244784038471e-10
t295,3.2535202278651797e-9,5.299485418577883e-9,1.117280146347225e-9
t296,3.964884948891325e-9,5.497897552738492e-9,8.380510706259592e-10
t297,5.4216346201633925e-9,5.342012840193701e-9,1.3305188368328486e-9
t298,5.581969475531912e-9,5.170891334635429e-9,8.340305765147282e-10
t299,6.201121901459793e-9,4.325735359377615e-9,5.328877412473512e-10
t300,6.164993882810116e-9,4.267639672458081e-9,4.342825399042791e-10
t301,5.548410284713033e-9,4.3865664228209815e-9,3.8666121067335113e-10
t302,5.312737465373527e-9,4.100365011942147e-9,3.869984972033874e-10
t303,4.843451616156968e-9,3.8762402226076815e-9,4.0031993112103194e-10
t304,4.407712965924542e-9,3.8803030955757415e-9,4.34444279716726e-10
t305,3.885220006889948e-9,4.791842658094566e-9,5.267036656691057e-10
t306,5.392360442172149e-9,4.56573233199528e-9,8.301749344210406e-10
t307,4.141398119101856e-9,4.809280134955931e-9,8.50087370710983e-10
t308,3.8670700560833046e-9,4.835714415718678e-9,8.414357679394388e-10
t309,3.3485535803841003e-9,4.831943945517767e-9,8.125294001627555e-10
t310,3.3852438416228998e-9,4.73311371162034e-9,7.669028537454512e-10
t311,3.3452423320079898e-9,4.501356211355178e-9,7.090801494450633e-10
t312,3.2101419618954458e-9,4.346542927198808e-9,6.461064918914203e-10
t313,3.1144039756643356e-9,4.256653540971035e-9,5.982807588446083e-10
t314,3.0581202987720544e-9,4.0554447320772635e-9,5.72142809812258e-10
t315,3.0168040880608285e-9,3.3808498028615717e-9,5.74440776089706e-10
t316,3.0461016800006536e-9,3.2733066503255145e-9,5.744523515181825e-10
t317,3.084936957514161e-9,3.2799027188602278e-9,5.837004514059133e-10
t318,3.148713824870514e-9,3.589237964702591e-9,6.098862730861672e-10
t319,3.17725480006671e-9,3.36252679048045e-9,6.558630463708244e-10
t320,3.5703877778125227e-9,3.972693103428616e-9,7.172224212842529e-10
t321,3.6672408745782443e-9,5.2900317416228565e-9,7.937938474467893e-10
t322,2.533733060113667e-9,3.9719566374071415e-9,6.493661372455283e-10
