model,zone,planning_year,case,unit,value,agg_zone
SWITCH,CASO,2050,full-base-200-retire,kg,3122673.708,CA
SWITCH,FRCC,2050,full-base-200-retire,kg,6771397.778,SOU
SWITCH,ISNE,2050,full-base-200-retire,kg,11866019.468,NE
SWITCH,MISC,2050,full-base-200-retire,kg,3658261.471,MISO
SWITCH,MISE,2050,full-base-200-retire,kg,3132893.056,MISO
SWITCH,MISS,2050,full-base-200-retire,kg,4084524.62,MISO
SWITCH,MISW,2050,full-base-200-retire,kg,4378773.069,MISO
SWITCH,NWPP,2050,full-base-200-retire,kg,1119715.666,WECC
SWITCH,NYCW,2050,full-base-200-retire,kg,1076950.092,NE
SWITCH,NYUP,2050,full-base-200-retire,kg,1504058.848,NE
SWITCH,PJMC,2050,full-base-200-retire,kg,1770616.16,PJM
SWITCH,PJMD,2050,full-base-200-retire,kg,1078140.2,PJM
SWITCH,PJME,2050,full-base-200-retire,kg,10425660.333,PJM
SWITCH,PJMW,2050,full-base-200-retire,kg,13742157.431,PJM
SWITCH,RMRG,2050,full-base-200-retire,kg,251494.758,WECC
SWITCH,SPPC,2050,full-base-200-retire,kg,258746.174,SPP
SWITCH,SPPN,2050,full-base-200-retire,kg,48471.331,SPP
SWITCH,SPPS,2050,full-base-200-retire,kg,1475447.571,SPP
SWITCH,SRCA,2050,full-base-200-retire,kg,4511605.345,SOU
SWITCH,SRCE,2050,full-base-200-retire,kg,3101455.069,MISO
SWITCH,SRSE,2050,full-base-200-retire,kg,4878190.134,SOU
SWITCH,SRSG,2050,full-base-200-retire,kg,1348705.336,WECC
SWITCH,TRE,2050,full-base-200-retire,kg,5975741.534,TRE
SWITCH,TREW,2050,full-base-200-retire,kg,765850.696,TRE
TEMOA,BASN,2027,full-base-200-retire,tons,33538300.0,WECC
TEMOA,CANO,2027,full-base-200-retire,tons,22589400.0,CA
TEMOA,CASO,2027,full-base-200-retire,tons,22280900.0,CA
TEMOA,FRCC,2027,full-base-200-retire,tons,75884200.0,SOU
TEMOA,ISNE,2027,full-base-200-retire,tons,32369400.0,NE
TEMOA,MISC,2027,full-base-200-retire,tons,46872300.0,MISO
TEMOA,MISE,2027,full-base-200-retire,tons,28689500.0,MISO
TEMOA,MISS,2027,full-base-200-retire,tons,63404400.0,MISO
TEMOA,MISW,2027,full-base-200-retire,tons,36696300.0,MISO
TEMOA,NWPP,2027,full-base-200-retire,tons,25011300.0,WECC
TEMOA,NYCW,2027,full-base-200-retire,tons,16687300.0,NE
TEMOA,NYUP,2027,full-base-200-retire,tons,23954300.0,NE
TEMOA,PJMC,2027,full-base-200-retire,tons,12749100.0,PJM
TEMOA,PJMD,2027,full-base-200-retire,tons,10326700.0,PJM
TEMOA,PJME,2027,full-base-200-retire,tons,73103800.0,PJM
TEMOA,PJMW,2027,full-base-200-retire,tons,83474000.0,PJM
TEMOA,RMRG,2027,full-base-200-retire,tons,4106610.0,WECC
TEMOA,SPPC,2027,full-base-200-retire,tons,18859300.0,SPP
TEMOA,SPPN,2027,full-base-200-retire,tons,19561500.0,SPP
TEMOA,SPPS,2027,full-base-200-retire,tons,17561800.0,SPP
TEMOA,SRCA,2027,full-base-200-retire,tons,29314200.0,SOU
TEMOA,SRCE,2027,full-base-200-retire,tons,33063300.0,MISO
TEMOA,SRSE,2027,full-base-200-retire,tons,48490100.0,SOU
TEMOA,SRSG,2027,full-base-200-retire,tons,19525600.0,WECC
TEMOA,TRE,2027,full-base-200-retire,tons,66984300.0,TRE
TEMOA,TREW,2027,full-base-200-retire,tons,7838530.0,TRE
TEMOA,BASN,2030,full-base-200-retire,tons,2809530.0,WECC
TEMOA,CANO,2030,full-base-200-retire,tons,4184350.0,CA
TEMOA,CASO,2030,full-base-200-retire,tons,6515570.0,CA
TEMOA,FRCC,2030,full-base-200-retire,tons,9015240.0,SOU
TEMOA,ISNE,2030,full-base-200-retire,tons,8636400.0,NE
TEMOA,MISC,2030,full-base-200-retire,tons,10998100.0,MISO
TEMOA,MISE,2030,full-base-200-retire,tons,7291980.0,MISO
TEMOA,MISS,2030,full-base-200-retire,tons,12329300.0,MISO
