case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2040,Nuclear,SOU,23931.7
20-week-foresight,2040,Nuclear,SPP,2030.0
20-week-foresight,2040,Nuclear,TRE,5123.3
20-week-foresight,2040,Nuclear,WECC,5182.3
20-week-foresight,2040,Solar,CA,56149.0
20-week-foresight,2040,Solar,MISO,106903.3
20-week-foresight,2040,Solar,NE,30352.0
20-week-foresight,2040,Solar,PJM,124751.7
20-week-foresight,2040,Solar,SOU,123125.3
20-week-foresight,2040,Solar,SPP,39752.7
20-week-foresight,2040,Solar,TRE,42206.3
20-week-foresight,2040,Solar,WECC,75950.0
20-week-foresight,2040,Wind,CA,6706.7
20-week-foresight,2040,Wind,MISO,151562.7
20-week-foresight,2040,Wind,NE,46106.3
20-week-foresight,2040,Wind,PJM,44463.3
20-week-foresight,2040,Wind,SOU,30695.0
20-week-foresight,2040,Wind,SPP,115804.3
20-week-foresight,2040,Wind,TRE,102298.3
20-week-foresight,2040,Wind,WECC,145488.0
20-week-foresight,2045,Battery,CA,5489.3
20-week-foresight,2045,Battery,MISO,1710.7
20-week-foresight,2045,Battery,NE,13016.7
20-week-foresight,2045,Battery,PJM,8761.0
20-week-foresight,2045,Battery,SOU,1160.0
20-week-foresight,2045,Battery,SPP,471.0
20-week-foresight,2045,Battery,TRE,202.0
20-week-foresight,2045,Battery,WECC,9856.7
20-week-foresight,2045,CCS,CA,29862.7
20-week-foresight,2045,CCS,MISO,73965.7
20-week-foresight,2045,CCS,NE,
20-week-foresight,2045,CCS,PJM,70524.3
20-week-foresight,2045,CCS,SOU,65239.0
20-week-foresight,2045,CCS,SPP,657.0
20-week-foresight,2045,CCS,TRE,27551.7
20-week-foresight,2045,CCS,WECC,4784.0
20-week-foresight,2045,Coal,CA,0.0
20-week-foresight,2045,Coal,MISO,20530.0
20-week-foresight,2045,Coal,NE,0.0
20-week-foresight,2045,Coal,PJM,6529.0
20-week-foresight,2045,Coal,SOU,11612.7
20-week-foresight,2045,Coal,SPP,7896.7
20-week-foresight,2045,Coal,TRE,5176.0
20-week-foresight,2045,Coal,WECC,8339.0
20-week-foresight,2045,Distributed Solar,CA,16584.3
20-week-foresight,2045,Distributed Solar,MISO,20070.3
20-week-foresight,2045,Distributed Solar,NE,9319.7
20-week-foresight,2045,Distributed Solar,PJM,21851.3
20-week-foresight,2045,Distributed Solar,SOU,15615.0
20-week-foresight,2045,Distributed Solar,SPP,5221.3
20-week-foresight,2045,Distributed Solar,TRE,8973.0
20-week-foresight,2045,Distributed Solar,WECC,10368.3
20-week-foresight,2045,Geothermal,CA,24.0
20-week-foresight,2045,Geothermal,MISO,
20-week-foresight,2045,Geothermal,NE,
20-week-foresight,2045,Geothermal,PJM,
20-week-foresight,2045,Geothermal,SOU,
20-week-foresight,2045,Geothermal,SPP,
20-week-foresight,2045,Geothermal,TRE,
20-week-foresight,2045,Geothermal,WECC,193.0
20-week-foresight,2045,Hydro,CA,11621.0
20-week-foresight,2045,Hydro,MISO,8300.3
20-week-foresight,2045,Hydro,NE,7742.0
20-week-foresight,2045,Hydro,PJM,7250.3
20-week-foresight,2045,Hydro,SOU,9225.0
20-week-foresight,2045,Hydro,SPP,4865.7
20-week-foresight,2045,Hydro,TRE,286.0
20-week-foresight,2045,Hydro,WECC,35573.0
20-week-foresight,2045,Hydrogen,CA,25.0
20-week-foresight,2045,Hydrogen,MISO,65.5
20-week-foresight,2045,Hydrogen,NE,74.0
20-week-foresight,2045,Hydrogen,PJM,55.0
20-week-foresight,2045,Hydrogen,SOU,38.0
20-week-foresight,2045,Hydrogen,SPP,41.0
20-week-foresight,2045,Hydrogen,TRE,25.5
20-week-foresight,2045,Hydrogen,WECC,64.5
20-week-foresight,2045,Natural Gas CC,CA,20914.7
20-week-foresight,2045,Natural Gas CC,MISO,57364.0
20-week-foresight,2045,Natural Gas CC,NE,40174.0
20-week-foresight,2045,Natural Gas CC,PJM,58584.7
20-week-foresight,2045,Natural Gas CC,SOU,61642.0
20-week-foresight,2045,Natural Gas CC,SPP,10970.0
20-week-foresight,2045,Natural Gas CC,TRE,38175.3
20-week-foresight,2045,Natural Gas CC,WECC,28435.0
20-week-foresight,2045,Natural Gas CT,CA,10239.7
20-week-foresight,2045,Natural Gas CT,MISO,31503.7
20-week-foresight,2045,Natural Gas CT,NE,3923.7
20-week-foresight,2045,Natural Gas CT,PJM,27445.7
20-week-foresight,2045,Natural Gas CT,SOU,27409.0
20-week-foresight,2045,Natural Gas CT,SPP,10089.0
20-week-foresight,2045,Natural Gas CT,TRE,9587.0
20-week-foresight,2045,Natural Gas CT,WECC,8500.7
20-week-foresight,2045,Nuclear,CA,5.5
20-week-foresight,2045,Nuclear,MISO,20329.0
20-week-foresight,2045,Nuclear,NE,6720.3
20-week-foresight,2045,Nuclear,PJM,33770.0
20-week-foresight,2045,Nuclear,SOU,23932.7
20-week-foresight,2045,Nuclear,SPP,2031.0
20-week-foresight,2045,Nuclear,TRE,5124.0
20-week-foresight,2045,Nuclear,WECC,5183.7
20-week-foresight,2045,Solar,CA,66599.0
20-week-foresight,2045,Solar,MISO,127137.7
20-week-foresight,2045,Solar,NE,40673.7
20-week-foresight,2045,Solar,PJM,148070.7
20-week-foresight,2045,Solar,SOU,146414.0
20-week-foresight,2045,Solar,SPP,48652.3
20-week-foresight,2045,Solar,TRE,49781.7
20-week-foresight,2045,Solar,WECC,108317.3
20-week-foresight,2045,Wind,CA,3995.0
20-week-foresight,2045,Wind,MISO,154461.7
20-week-foresight,2045,Wind,NE,46137.7
20-week-foresight,2045,Wind,PJM,44675.7
20-week-foresight,2045,Wind,SOU,34477.7
20-week-foresight,2045,Wind,SPP,125483.7
20-week-foresight,2045,Wind,TRE,105112.3
20-week-foresight,2045,Wind,WECC,156491.3
20-week-foresight,2050,Battery,CA,13350.0
20-week-foresight,2050,Battery,MISO,11584.0
20-week-foresight,2050,Battery,NE,15077.3
20-week-foresight,2050,Battery,PJM,20477.3
20-week-foresight,2050,Battery,SOU,11688.3
20-week-foresight,2050,Battery,SPP,3501.3
20-week-foresight,2050,Battery,TRE,1103.3
20-week-foresight,2050,Battery,WECC,30699.3
20-week-foresight,2050,CCS,CA,30638.3
20-week-foresight,2050,CCS,MISO,83789.7
20-week-foresight,2050,CCS,NE,
20-week-foresight,2050,CCS,PJM,75149.3
20-week-foresight,2050,CCS,SOU,69131.7
20-week-foresight,2050,CCS,SPP,658.5
20-week-foresight,2050,CCS,TRE,31130.7
20-week-foresight,2050,CCS,WECC,7524.0
20-week-foresight,2050,Coal,CA,0.0
20-week-foresight,2050,Coal,MISO,9407.3
20-week-foresight,2050,Coal,NE,0.0
20-week-foresight,2050,Coal,PJM,4784.0
20-week-foresight,2050,Coal,SOU,5392.7
20-week-foresight,2050,Coal,SPP,3590.3
20-week-foresight,2050,Coal,TRE,4175.0
20-week-foresight,2050,Coal,WECC,4356.3
20-week-foresight,2050,Distributed Solar,CA,16740.7
20-week-foresight,2050,Distributed Solar,MISO,22530.0
20-week-foresight,2050,Distributed Solar,NE,9857.3
20-week-foresight,2050,Distributed Solar,PJM,22862.7
20-week-foresight,2050,Distributed Solar,SOU,17346.7
20-week-foresight,2050,Distributed Solar,SPP,6128.0
20-week-foresight,2050,Distributed Solar,TRE,10110.3
20-week-foresight,2050,Distributed Solar,WECC,10744.0
20-week-foresight,2050,Geothermal,CA,24.0
20-week-foresight,2050,Geothermal,MISO,
20-week-foresight,2050,Geothermal,NE,
20-week-foresight,2050,Geothermal,PJM,
20-week-foresight,2050,Geothermal,SOU,
20-week-foresight,2050,Geothermal,SPP,
20-week-foresight,2050,Geothermal,TRE,
20-week-foresight,2050,Geothermal,WECC,76.0
20-week-foresight,2050,Hydro,CA,10741.7
20-week-foresight,2050,Hydro,MISO,7605.0
20-week-foresight,2050,Hydro,NE,7654.3
20-week-foresight,2050,Hydro,PJM,7250.3
20-week-foresight,2050,Hydro,SOU,9128.0
20-week-foresight,2050,Hydro,SPP,4755.7
20-week-foresight,2050,Hydro,TRE,228.0
20-week-foresight,2050,Hydro,WECC,34122.0
20-week-foresight,2050,Hydrogen,CA,29.0
20-week-foresight,2050,Hydrogen,MISO,76.5
20-week-foresight,2050,Hydrogen,NE,78.0
20-week-foresight,2050,Hydrogen,PJM,62.5
20-week-foresight,2050,Hydrogen,SOU,44.5
20-week-foresight,2050,Hydrogen,SPP,48.0
20-week-foresight,2050,Hydrogen,TRE,30.0
20-week-foresight,2050,Hydrogen,WECC,78.5
20-week-foresight,2050,Natural Gas CC,CA,19388.0
20-week-foresight,2050,Natural Gas CC,MISO,54633.0
20-week-foresight,2050,Natural Gas CC,NE,39470.3
20-week-foresight,2050,Natural Gas CC,PJM,57515.0
20-week-foresight,2050,Natural Gas CC,SOU,61588.7
20-week-foresight,2050,Natural Gas CC,SPP,10841.7
20-week-foresight,2050,Natural Gas CC,TRE,36232.0
20-week-foresight,2050,Natural Gas CC,WECC,28380.7
20-week-foresight,2050,Natural Gas CT,CA,10066.7
20-week-foresight,2050,Natural Gas CT,MISO,22776.3
20-week-foresight,2050,Natural Gas CT,NE,3918.3
20-week-foresight,2050,Natural Gas CT,PJM,21234.7
20-week-foresight,2050,Natural Gas CT,SOU,19742.3
20-week-foresight,2050,Natural Gas CT,SPP,9022.3
20-week-foresight,2050,Natural Gas CT,TRE,8635.0
20-week-foresight,2050,Natural Gas CT,WECC,8038.7
20-week-foresight,2050,Nuclear,CA,6.5
