region,technology,cluster,spur_miles,max_capacity
SPPN,naturalgas_ctavgcf,,10,-1
SPPS,naturalgas_ctavgcf,,10,-1
SRCA,naturalgas_ctavgcf,,10,-1
SRCE,naturalgas_ctavgcf,,10,-1
SRSE,naturalgas_ctavgcf,,10,-1
SRSG,naturalgas_ctavgcf,,10,-1
TRE,naturalgas_ctavgcf,,10,-1
BASN,storage_hydrogen,,0,-1
CANO,storage_hydrogen,,0,-1
CASO,storage_hydrogen,,0,-1
FRCC,storage_hydrogen,,0,-1
ISNE,storage_hydrogen,,0,-1
MISC,storage_hydrogen,,0,-1
MISE,storage_hydrogen,,0,-1
MISS,storage_hydrogen,,0,-1
MISW,storage_hydrogen,,0,-1
NWPP,storage_hydrogen,,0,-1
NYCW,storage_hydrogen,,0,-1
NYUP,storage_hydrogen,,0,-1
PJMC,storage_hydrogen,,0,-1
PJMD,storage_hydrogen,,0,-1
PJME,storage_hydrogen,,0,-1
PJMW,storage_hydrogen,,0,-1
RMRG,storage_hydrogen,,0,-1
SPPC,storage_hydrogen,,0,-1
SPPN,storage_hydrogen,,0,-1
SPPS,storage_hydrogen,,0,-1
SRCA,storage_hydrogen,,0,-1
SRCE,storage_hydrogen,,0,-1
SRSE,storage_hydrogen,,0,-1
SRSG,storage_hydrogen,,0,-1
TRE,storage_hydrogen,,0,-1
BASN,storage_metalair,,0,-1
CANO,storage_metalair,,0,-1
CASO,storage_metalair,,0,-1
FRCC,storage_metalair,,0,-1
ISNE,storage_metalair,,0,-1
MISC,storage_metalair,,0,-1
MISE,storage_metalair,,0,-1
MISS,storage_metalair,,0,-1
MISW,storage_metalair,,0,-1
NWPP,storage_metalair,,0,-1
NYCW,storage_metalair,,0,-1
NYUP,storage_metalair,,0,-1
PJMC,storage_metalair,,0,-1
PJMD,storage_metalair,,0,-1
PJME,storage_metalair,,0,-1
PJMW,storage_metalair,,0,-1
RMRG,storage_metalair,,0,-1
SPPC,storage_metalair,,0,-1
SPPN,storage_metalair,,0,-1
SPPS,storage_metalair,,0,-1
SRCA,storage_metalair,,0,-1
SRCE,storage_metalair,,0,-1
SRSE,storage_metalair,,0,-1
SRSG,storage_metalair,,0,-1
TRE,storage_metalair,,0,-1
BASN,candgeothermal_hydroflash,,20,320
CANO,candgeothermal_hydroflash,,20,420
CASO,candgeothermal_hydroflash,,20,1290
FRCC,candgeothermal_hydroflash,,20,0
ISNE,candgeothermal_hydroflash,,20,0
MISC,candgeothermal_hydroflash,,20,0
MISE,candgeothermal_hydroflash,,20,0
MISS,candgeothermal_hydroflash,,20,0
MISW,candgeothermal_hydroflash,,20,0
NWPP,candgeothermal_hydroflash,,20,660
NYCW,candgeothermal_hydroflash,,20,0
NYUP,candgeothermal_hydroflash,,20,0
PJMC,candgeothermal_hydroflash,,20,0
PJMD,candgeothermal_hydroflash,,20,0
PJME,candgeothermal_hydroflash,,20,0
PJMW,candgeothermal_hydroflash,,20,0
RMRG,candgeothermal_hydroflash,,20,0
SPPC,candgeothermal_hydroflash,,20,0
SPPN,candgeothermal_hydroflash,,20,0
SPPS,candgeothermal_hydroflash,,20,0
SRCA,candgeothermal_hydroflash,,20,0
SRCE,candgeothermal_hydroflash,,20,0
SRSE,candgeothermal_hydroflash,,20,0
SRSG,candgeothermal_hydroflash,,20,0
TRE,candgeothermal_hydroflash,,20,0
BASN,naturalgas_f-frame ct,,10,-1
CANO,naturalgas_f-frame ct,,10,-1
CASO,naturalgas_f-frame ct,,10,-1
FRCC,naturalgas_f-frame ct,,10,-1
ISNE,naturalgas_f-frame ct,,10,-1
MISC,naturalgas_f-frame ct,,10,-1
MISE,naturalgas_f-frame ct,,10,-1
MISS,naturalgas_f-frame ct,,10,-1
MISW,naturalgas_f-frame ct,,10,-1
NWPP,naturalgas_f-frame ct,,10,-1
NYCW,naturalgas_f-frame ct,,10,-1
NYUP,naturalgas_f-frame ct,,10,-1
PJMC,naturalgas_f-frame ct,,10,-1
PJMD,naturalgas_f-frame ct,,10,-1
PJME,naturalgas_f-frame ct,,10,-1
PJMW,naturalgas_f-frame ct,,10,-1
RMRG,naturalgas_f-frame ct,,10,-1
SPPC,naturalgas_f-frame ct,,10,-1
SPPN,naturalgas_f-frame ct,,10,-1
SPPS,naturalgas_f-frame ct,,10,-1
SRCA,naturalgas_f-frame ct,,10,-1
SRCE,naturalgas_f-frame ct,,10,-1
SRSE,naturalgas_f-frame ct,,10,-1
SRSG,naturalgas_f-frame ct,,10,-1
TRE,naturalgas_f-frame ct,,10,-1
TREW,naturalgas_f-frame ct,,10,-1
BASN,naturalgas_h-frame cc_moderate,,10,-1
CANO,naturalgas_h-frame cc_moderate,,10,-1
CASO,naturalgas_h-frame cc_moderate,,10,-1
FRCC,naturalgas_h-frame cc_moderate,,10,-1
ISNE,naturalgas_h-frame cc_moderate,,10,-1
MISC,naturalgas_h-frame cc_moderate,,10,-1
MISE,naturalgas_h-frame cc_moderate,,10,-1
MISS,naturalgas_h-frame cc_moderate,,10,-1
MISW,naturalgas_h-frame cc_moderate,,10,-1
NWPP,naturalgas_h-frame cc_moderate,,10,-1
NYCW,naturalgas_h-frame cc_moderate,,10,-1
NYUP,naturalgas_h-frame cc_moderate,,10,-1
PJMC,naturalgas_h-frame cc_moderate,,10,-1
PJMD,naturalgas_h-frame cc_moderate,,10,-1
PJME,naturalgas_h-frame cc_moderate,,10,-1
PJMW,naturalgas_h-frame cc_moderate,,10,-1
RMRG,naturalgas_h-frame cc_moderate,,10,-1
SPPC,naturalgas_h-frame cc_moderate,,10,-1
SPPN,naturalgas_h-frame cc_moderate,,10,-1
SPPS,naturalgas_h-frame cc_moderate,,10,-1
SRCA,naturalgas_h-frame cc_moderate,,10,-1
SRCE,naturalgas_h-frame cc_moderate,,10,-1
SRSE,naturalgas_h-frame cc_moderate,,10,-1
SRSG,naturalgas_h-frame cc_moderate,,10,-1
TRE,naturalgas_h-frame cc_moderate,,10,-1
TREW,naturalgas_h-frame cc_moderate,,10,-1
BASN,naturalgas_h-frame cc 95% ccs,,10,-1
CANO,naturalgas_h-frame cc 95% ccs,,10,-1
CASO,naturalgas_h-frame cc 95% ccs,,10,-1
FRCC,naturalgas_h-frame cc 95% ccs,,10,-1
ISNE,naturalgas_h-frame cc 95% ccs,,10,-1
MISC,naturalgas_h-frame cc 95% ccs,,10,-1
MISE,naturalgas_h-frame cc 95% ccs,,10,-1
MISS,naturalgas_h-frame cc 95% ccs,,10,-1
MISW,naturalgas_h-frame cc 95% ccs,,10,-1
NWPP,naturalgas_h-frame cc 95% ccs,,10,-1
NYCW,naturalgas_h-frame cc 95% ccs,,10,-1
NYUP,naturalgas_h-frame cc 95% ccs,,10,-1
PJMC,naturalgas_h-frame cc 95% ccs,,10,-1
PJMD,naturalgas_h-frame cc 95% ccs,,10,-1
PJME,naturalgas_h-frame cc 95% ccs,,10,-1
PJMW,naturalgas_h-frame cc 95% ccs,,10,-1
RMRG,naturalgas_h-frame cc 95% ccs,,10,-1
SPPC,naturalgas_h-frame cc 95% ccs,,10,-1
SPPN,naturalgas_h-frame cc 95% ccs,,10,-1
SPPS,naturalgas_h-frame cc 95% ccs,,10,-1
SRCA,naturalgas_h-frame cc 95% ccs,,10,-1
SRCE,naturalgas_h-frame cc 95% ccs,,10,-1
SRSE,naturalgas_h-frame cc 95% ccs,,10,-1
SRSG,naturalgas_h-frame cc 95% ccs,,10,-1
TRE,naturalgas_h-frame cc 95% ccs,,10,-1
TREW,naturalgas_h-frame cc 95% ccs,,10,-1
BASN,nuclear_nuclear,,50,-1
CANO,nuclear_nuclear,,50,-1
CASO,nuclear_nuclear,,50,-1
FRCC,nuclear_nuclear,,50,-1
ISNE,nuclear_nuclear,,50,-1
MISC,nuclear_nuclear,,50,-1
MISE,nuclear_nuclear,,50,-1
MISS,nuclear_nuclear,,50,-1
MISW,nuclear_nuclear,,50,-1
NWPP,nuclear_nuclear,,50,-1
NYCW,nuclear_nuclear,,50,-1
NYUP,nuclear_nuclear,,50,-1
PJMC,nuclear_nuclear,,50,-1
PJMD,nuclear_nuclear,,50,-1
PJME,nuclear_nuclear,,50,-1
PJMW,nuclear_nuclear,,50,-1
RMRG,nuclear_nuclear,,50,-1
SPPC,nuclear_nuclear,,50,-1
SPPN,nuclear_nuclear,,50,-1
SPPS,nuclear_nuclear,,50,-1
SRCA,nuclear_nuclear,,50,-1
SRCE,nuclear_nuclear,,50,-1
SRSE,nuclear_nuclear,,50,-1
SRSG,nuclear_nuclear,,50,-1
TRE,nuclear_nuclear,,50,-1
TREW,nuclear_nuclear,,50,-1
