case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
all,2050,MISC,0,0,0.142,0,0,0,0,0,0,0,0.278,0,0,0,0,0,0,0
all,2050,MISE,0,0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,MISW,0,0,0.194,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0
all,2050,NWPP,0.212,0,0,0,0,0,0,0,0.749,0,0,0,0,0,0,0,0,0
all,2050,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,11.12
all,2050,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,8.05
all,2050,PJMC,0,0,0,0,0.485,0,0,0,0,0,0,0,1,0,0,0,0,0
all,2050,PJMD,0,0,0,0,0.604,0,0,0,0,0,0,0,0.784,0,0,0,1,14.51
all,2050,PJME,0,0,0,0,0.342,0,0,0,0,0,0,0,0.001,0,0,0,1,65.58
all,2050,PJMW,0,0,0,0,0.056,0,0,0,0,0,0,0,0.047,0,0,0,0,0
all,2050,RMRG,0.181,0,0,0,0,0,0,0,0.385,0,0,0,0,0,0,0,0,0
all,2050,SPPC,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,SPPN,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0.65,0,0,0,0
all,2050,SPPS,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0.084,0,0,0,0
all,2050,SRCA,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.327,0,0,0
all,2050,SRCE,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.011,0,0,0
all,2050,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,SRSG,0.166,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0,0
all,2050,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,2050,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
