Constraint,CapRes_1,CapRes_2,CapRes_3
t193,3.419731998368204e-10,8.492820493871461e-10,1.4741987553712397e-10
t194,3.4002427715448455e-10,5.292207596628459e-10,1.0614778571201949e-10
t195,2.469473067728209e-10,6.637814433919208e-10,9.815273643959866e-11
t196,2.4986875718726445e-10,6.781675668870088e-10,7.784496788663194e-11
t197,3.443349296135582e-10,4.6147252647368367e-10,6.58023627587418e-11
t198,3.609729027642681e-10,5.314153190205036e-10,7.669910123046115e-11
t199,3.247026081380217e-10,8.128683121227741e-10,9.063838353158979e-11
t200,3.783153408247523e-10,5.672629791590706e-10,4.634812564110659e-11
t201,5.775480751313796e-10,3.859837248423582e-10,1.1148315356132747e-10
t202,5.442673319883877e-10,3.9448942664798715e-10,6.661486508587704e-11
t203,6.099148426144926e-10,4.579596644907171e-10,6.31971316557146e-11
t204,5.089993257698674e-10,4.835478556704929e-10,7.713288362634006e-11
t205,5.645882987707048e-10,3.426724241932232e-10,7.705531603921124e-11
t206,5.191174174344768e-10,3.803760442880071e-10,8.731869198557452e-11
t207,5.833277223444869e-10,4.728139121920803e-10,1.0685566805531324e-10
t208,9.68605117371225e-10,4.965499442408366e-10,1.223148466874012e-10
t209,2.7079952348913276e-9,6.276208920599813e-10,1.4581301624109683e-10
t210,1.513002884490335e-7,1.2751331314900257e-9,1.6355903345413809e-10
t211,3.7380128742493453e-8,9.261684446754089e-9,1.8178072403193142e-10
t212,7.792876454652532e-10,3.4770607524419474e-9,6.869929316529419e-10
t213,2.6587534883869335e-9,2.035688207481366e-9,2.1584780536277656e-9
t214,1.9809983205384723e-9,2.532506045756902e-9,4.869492697011696e-10
t215,1.3338631803103938e-9,1.303134675964098e-9,2.304247377248662e-10
t216,4.688194292232951e-10,1.2595988768396473e-9,1.699853978986636e-10
t217,5.112875453112411e-10,6.722304305338082e-10,1.0947020901854639e-10
t218,4.1281760839433203e-10,7.119763888299524e-10,8.228039259381154e-11
t219,3.055598283236857e-10,8.355759582202112e-10,6.900469730123368e-11
t220,2.5696113516537925e-10,4.806406134715547e-10,6.201095552766601e-11
t221,2.572439403135137e-10,4.789563126971631e-10,6.492132881083668e-11
t222,3.026484825132615e-10,6.507733896332478e-10,8.101239300071165e-11
t223,4.773143995290201e-10,4.550599196325306e-10,6.500870100563926e-11
t224,6.463056050376397e-10,6.026911476688876e-10,9.014551378654021e-12
t225,6.666863441346604e-10,3.779587138998269e-10,8.929921609390969e-11
t226,6.216066471543085e-10,2.303714396118252e-10,9.427112557276472e-11
t227,7.40106722410369e-10,4.38476979518624e-10,1.0282038752076601e-10
t228,9.076720130335101e-10,5.692433616481488e-10,4.434219300725632e-11
t229,7.219535324822915e-10,5.444358246584379e-10,7.983301500021645e-11
t230,7.855124964453505e-10,6.155582059485148e-10,6.679279408805035e-11
t231,6.244511027707294e-10,3.6101871596252693e-10,1.1371481918702286e-10
t232,6.090203438787891e-10,3.4789355090280536e-10,1.3559916825547151e-10
t233,6.478437296499113e-10,4.594292187658229e-10,1.927997745935864e-10
t234,1.0018083975893018e-9,1.9567467772686827e-9,4.4926296486358844e-10
t235,1.215805600491659e-9,1.795460003872932e-8,0.011937095086197181
t236,4.716469673721025e-9,5.142885990834947e-9,1.6787701054722779e-9
t237,2.569861629348843e-9,2.6432906196250177e-9,0.026014757049932353
t238,1.2413785707481724e-9,3.4228137247695273e-9,8.541601957719146e-10
t239,4.934727892225642e-10,2.243086692117955e-9,2.0736857455302007e-10
t240,3.130407526159122e-10,1.192736646511063e-9,1.258069515628575e-10
t241,2.491267980511611e-10,5.323133236942274e-10,8.047164756905508e-11
t242,2.524185157094281e-10,4.6504818150579397e-10,6.592741125690107e-11
t243,2.603644496785305e-10,4.4940688097823854e-10,5.5040650625747475e-11
t244,2.716872642307491e-10,4.473121557486902e-10,5.270426808172003e-11
t245,2.673799739269919e-10,4.4144994435358795e-10,5.344052026698209e-11
t246,3.784750986509228e-10,5.178993526315362e-10,6.531357998249146e-11
t247,4.3539776708125806e-10,4.3585419299528216e-10,8.62879539259558e-11
t248,4.058674806373863e-10,4.792596629221069e-10,8.190425631146076e-11
t249,5.138821759771549e-10,4.0108732023919743e-10,7.206025390303546e-11
t250,5.642765136030796e-10,5.27556660335211e-10,9.513760995065799e-11
t251,6.221688071866676e-10,5.52930907566896e-10,8.761169888041049e-11
t252,6.074243893129985e-10,5.171299409634773e-10,8.745651825952948e-11
t253,1.1538385334899423e-9,6.567427517309513e-10,1.993001512288327e-10
t254,7.154165452507309e-10,3.545106919030771e-10,1.8174608733692968e-10
t255,8.60357257042721e-10,4.464635433137183e-10,2.5807031273294287e-10
t256,1.0067990132543858e-9,1.0297738481162556e-9,8.638062726271208e-10
t257,1.4281576630443687e-8,1.1102351511608613e-9,2.690453726540969e-9
t258,4.757128582673844e-8,2.8859871222725107e-9,0.026014923639935544
t259,0.026014909662991963,0.02604505118545193,1.2916789708330114
t260,0.4013722554927151,0.29231402129966283,3.0134119888829862
t261,1.9561738466131156e-7,0.22682935760450657,4.7120589929787
t262,7.440418232572485e-9,5.174348406268395e-9,0.03497114575484612
t263,2.022458223559166e-9,2.417897155117269e-9,1.966991076624798e-10
t264,4.590779340648197e-10,1.4385461955772516e-9,1.296044725494956e-10
t265,3.800803766114172e-10,7.696728882264389e-10,8.634444709469858e-11
t266,2.7269410581620077e-10,8.454845237130845e-10,7.177884777902822e-11
t267,2.564689469831972e-10,8.569164891537843e-10,6.141420261515484e-11
t268,2.570757003438057e-10,6.303168788703432e-10,5.6271237748101105e-11
t269,2.610883422406017e-10,6.439062692333098e-10,5.750886766339784e-11
t270,3.1768854852146736e-10,6.306033999325342e-10,6.710211484112906e-11
t271,3.5186447516214264e-10,6.603198086177988e-10,7.848710340410042e-11
t272,4.5985167936369696e-10,5.529797778827906e-10,9.281475137029956e-11
t273,5.730524316009503e-10,4.662515797912115e-10,8.442484867584376e-11
t274,6.191025009434872e-10,2.819434253752464e-10,6.818816444274363e-11
t275,6.926437112619284e-10,3.389774293461545e-10,1.1541736219179103e-10
t276,1.2912799414256655e-9,3.943473884684194e-10,8.444693822143173e-11
t277,1.0097895628103925e-8,8.492357216968134e-10,1.0708758976621267e-10
t278,0.026014656716824697,1.0139316714660858e-9,1.7178210227581858e-10
t279,0.026014903214898338,6.903828742311931e-10,1.6361294395402324e-10
t280,0.06351620559333573,1.511648782961124e-9,2.984766798900804e-10
t281,1.8015551410128177,2.808959735259548e-9,1.145621749703657e-9
t282,6.034694133586201,0.026014883008196547,1.8923404395234726
t283,2.544664111550391,2.4885545088952665,2.485007603541984
t284,2.5121272045994685,2.4012088317742397,2.2152863797739974
t285,0.07753337268121858,0.041756000243419564,1.801649537656538e-9
t286,1.5939110473004827e-8,1.185134690021328e-9,3.0876266385438593e-10
t287,4.2311332980481435e-9,8.927985843062062e-10,1.381578022596841e-10
t288,3.8180756697395926e-10,6.996140035156177e-10,8.493927489467276e-11
t289,5.266043016970412e-9,1.0525450796005822e-8,1.1628754725723988e-9
t290,5.058340715052868e-9,1.4039404057419661e-8,1.098050391653819e-9
t291,5.153536793653501e-9,1.017238705882212e-8,1.1792481447955552e-9
t292,5.186381306383936e-9,1.0200938247258185e-8,1.7732715591992397e-9
t293,5.193256023926995e-9,1.079233085414207e-8,1.608596089675199e-10
t294,5.164780961184771e-9,9.163002881893756e-9,1.5256089098875985e-9
t295,5.28641214555686e-9,9.601857237354335e-9,4.036878789408988e-9
t296,6.0682218912504935e-9,1.0410217990090046e-8,1.0796620038853006e-9
t297,8.2843716087243e-9,1.1315823638968297e-8,1.203194078992272e-9
t298,8.03202507857605e-9,1.2923494308790097e-8,-5.039152192423765e-10
t299,8.912500633877418e-9,6.346362217414482e-9,7.779268497984628e-10
t300,1.0379860104931852e-8,5.3768171485067715e-9,6.868625304940898e-10
t301,7.060709570250232e-9,5.181791650599808e-9,6.455559780179198e-10
t302,6.7601722100648435e-9,5.211652446798961e-9,6.518229773615467e-10
t303,6.868659551178292e-9,6.100383161747939e-9,6.68930561505239e-10
t304,6.824365659405447e-9,7.148582895336528e-9,7.254270649435204e-10
t305,6.5700039140732935e-9,8.975533030294774e-9,9.012178289902208e-10
t306,8.574973893291819e-9,1.2912887805029659e-8,1.2199833221928422e-9
t307,7.81517964342617e-9,1.509285171542329e-8,1.4205885775048926e-9
t308,7.518784129179125e-9,1.5331659093568684e-8,1.3720618276461569e-9
t309,6.428545146595043e-9,1.4622566620132984e-8,1.2908133796629115e-9
t310,6.095922502015253e-9,1.1342778803667739e-8,1.1825455751166025e-9
t311,5.785587904504647e-9,9.820310167481399e-9,1.0598683033420345e-9
t312,5.29080107648052e-9,9.039884648411213e-9,9.377361770635095e-10
t313,4.815180090326348e-9,8.26211057711596e-9,8.491565753525618e-10
t314,4.7763366969646225e-9,7.835745355284783e-9,8.072584839792562e-10
t315,4.799592487771012e-9,6.06496780150096e-9,8.110166066674884e-10
t316,4.9794656008921885e-9,5.585061299663941e-9,8.265021670886548e-10
t317,5.101662095588611e-9,5.694489363854924e-9,8.513020502683876e-10
t318,5.236120820483532e-9,5.916056077649913e-9,9.047638711959452e-10
t319,5.77596489682301e-9,6.154111559091419e-9,9.667788567586195e-10
t320,6.687323765416973e-9,7.074295828762579e-9,1.0455458727960243e-9
t321,6.498016050042274e-9,1.2476805744605523e-8,1.1579687138207031e-9
t322,3.870853569684395e-9,7.788710503756432e-9,9.642920147755993e-10
t323,4.141173155977252e-9,7.434685485738912e-9,8.241974189665638e-10
t324,4.595739950755806e-9,6.20492149559143e-9,7.830844798622674e-10
