Region,Resource,Zone,Cluster,AnnualSum
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.07382027237387906
NY_Z_A,NY_Z_A_nuclear_nuclear_moderate_0,2,0,0.04197552284156782
NY_Z_A,NY_Z_A_naturalgas_ccs100_moderate_0,2,0,0.03143321406483695
NY_Z_B,NY_Z_B_naturalgas_ccavgcf_moderate_0,3,0,0.08279185069174665
NY_Z_B,NY_Z_B_naturalgas_ctavgcf_moderate_0,3,0,0.07886807570120559
NY_Z_B,NY_Z_B_nuclear_nuclear_moderate_0,3,0,0.04123486218868704
NY_Z_B,NY_Z_B_naturalgas_ccs100_moderate_0,3,0,0.03900607504651881
NY_Z_C&E,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,4,0,0.0826540123413366
NY_Z_C&E,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,4,0,0.05015322274584956
NY_Z_C&E,NY_Z_C&E_nuclear_nuclear_moderate_0,4,0,0.03576692843095828
NY_Z_C&E,NY_Z_C&E_naturalgas_ccs100_moderate_0,4,0,0.031599443378755046
NY_Z_D,NY_Z_D_naturalgas_ccavgcf_moderate_0,5,0,0.08748062242878547
NY_Z_D,NY_Z_D_naturalgas_ctavgcf_moderate_0,5,0,0.09885204764943084
NY_Z_D,NY_Z_D_nuclear_nuclear_moderate_0,5,0,0.03773400541941836
NY_Z_D,NY_Z_D_naturalgas_ccs100_moderate_0,5,0,0.04143044174150551
NY_Z_F,NY_Z_F_naturalgas_ccavgcf_moderate_0,6,0,0.12848658289175566
NY_Z_F,NY_Z_F_naturalgas_ctavgcf_moderate_0,6,0,0.10226582257715386
NY_Z_F,NY_Z_F_nuclear_nuclear_moderate_0,6,0,0.04560513067531911
NY_Z_F,NY_Z_F_naturalgas_ccs100_moderate_0,6,0,0.04121712838693861
NY_Z_G-I,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,0,0.12586080115437825
NY_Z_G-I,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,0,0.08951329533823506
NY_Z_G-I,NY_Z_G-I_nuclear_nuclear_moderate_0,7,0,0.039317318324118264
NY_Z_G-I,NY_Z_G-I_naturalgas_ccs100_moderate_0,7,0,0.05769212890517106
NY_Z_J,NY_Z_J_naturalgas_ccavgcf_moderate_0,8,0,0.09492782637946516
NY_Z_J,NY_Z_J_naturalgas_ctavgcf_moderate_0,8,0,0.16276875596233603
