region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,Total
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_3,1,3,141,6.374349921676836e-13,0.0023266809363203045,0.0,0.0,0.0,0.0,0.0023266809369577395
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_4,1,4,142,2.056827651158683e-13,0.0007507560369369372,0.0,0.0,0.0,0.0,0.00075075603714262
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_5,1,5,143,2.342174183738789e-13,0.0008549094558356263,0.0,0.0,0.0,0.0,0.0008549094560698437
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_1,1,1,144,5.484554671365827e-6,20018.99637589473,0.0,0.0,0.0,0.0,20018.996381379286
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_2,1,2,145,4.804170536968316e-12,0.017535548158698257,0.0,0.0,0.0,0.0,0.01753554816350243
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_3,1,3,146,1.004245451238249e-12,0.003665563979844648,0.0,0.0,0.0,0.0,0.003665563980848893
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_4,1,4,147,0.00021486296135926497,784264.3755967821,0.0,0.0,0.0,0.0,784264.3758116451
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_5,1,5,148,2.34020831196401e-13,0.0008541918993102034,0.0,0.0,0.0,0.0,0.0008541918995442242
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_6,1,6,149,2.365258433824948e-13,0.0008633353636167585,0.0,0.0,0.0,0.0,0.0008633353638532843
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_1,1,1,150,1.7218648451597347e-13,0.000628492341866822,0.0,0.0,0.0,0.0,0.0006284923420390085
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_2,1,2,151,2.217841024767672e-13,0.0008095270098944595,0.0,0.0,0.0,0.0,0.0008095270101162436
