Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t20,2.144564747211415e-7,-4.93878412799851e-7,-6.195913621427429e-6,-3.6974912142676953e-6,-1.0432449900868307e-5,-1.50868412231604e-5,-0.00014008182048721478,-0.00014046061710529695,-0.0001406189663114461,-0.00013578171072891528,-0.00013152895325592036,-0.00013731572700788466,-0.00012619133421818812,-7.141011629346677e-5,-5.868728665787165e-5,-9.656319167964605e-6,-0.0011274249691319719
t21,-3.841588695394442e-7,-4.091162630978727e-7,-4.6665676475748027e-7,-1.4991322398948066e-6,-1.4403209175112975e-7,-4.235792625839368e-7,-5.801150525857203e-6,-4.6739414630182955e-6,-4.917619203191193e-6,-3.2157389603195975e-5,-6.898295153960273e-6,-4.9800903579692704e-6,-4.950938013514009e-6,-3.405893863037601e-5,-0.00011915056693551027,-2.4576330251081287e-7,-0.00022116136868072797
t22,-4.21037203994595e-6,-3.67195087013033e-7,-5.149656346332542e-6,-5.6900852516159386e-6,-1.2069233116107438e-5,-6.739703171850968e-6,-7.08965686981852e-7,-7.167718153282614e-7,-6.22175273279699e-7,-7.062540502470943e-7,-9.346854009245402e-7,-6.225556103507317e-7,-6.604987833227559e-7,-6.120959758287204e-7,-4.13420313111829e-6,-8.02790728832184e-6,-5.197235802856965e-5
t23,-1.795621095774677e-7,5.318608176362613e-7,-7.150408913833333e-6,-6.057188535402174e-6,-1.1948772798676593e-5,-4.694287387788847e-6,1.7569955939815045e-5,1.683703210576476e-5,1.598740600914355e-5,1.9309106626687244e-5,1.3413303052857135e-5,1.6197499726198198e-5,1.5991192609111274e-5,1.7340296586952893e-5,4.33726108760805e-8,-1.3625223069286163e-5,8.956558327047787e-5
t24,-1.2491953660403973e-6,-1.7357613034760394e-6,-7.425391595492343e-6,-6.0418937999183054e-6,-1.1647004211201007e-5,-1.7363069445295974e-6,5.781920704554666e-6,5.422091125274763e-6,4.902085203940431e-6,6.161452609399994e-6,5.155714482636929e-6,4.976447756957516e-6,4.886428972337812e-6,6.3441205287159596e-6,-1.3650637161736654e-7,-1.8076857163389e-5,-4.418655371845982e-6
t25,-1.8335680699707809e-6,8.834901927558991e-7,-9.977774673674326e-6,-7.939623734176778e-6,-1.1316521923037456e-5,-2.4555127875431585e-6,2.909991408909428e-7,2.6862202938803896e-8,-3.2446749282938825e-7,1.4901106403862606e-7,-7.289291628872548e-8,-3.9189369408267614e-7,-3.247593966030048e-7,1.4110462937773834e-6,-1.0983147211047725e-7,-2.2442592707148965e-5,-5.442802997306408e-5
t26,-2.4642898344467565e-6,4.135353542713663e-6,-1.0453111507693708e-5,-8.686537218374191e-6,-1.23399701454478e-5,-2.425131579436203e-6,-3.2676790764123246e-6,-3.473724411689379e-6,-3.243004465984071e-6,-3.100315775332878e-6,-3.1336638872613496e-6,-3.3576136679397106e-6,-3.2311334001710184e-6,-3.1996536590422836e-7,-6.415764482497138e-7,-3.172497026482983e-5,-8.77273335064595e-5
t27,-1.5406479826927551e-6,3.5919337751074805e-6,-9.335587969910147e-6,-1.0351580186401404e-5,-1.537674460824575e-5,-8.058223403492767e-7,-6.916416925732083e-6,-6.6970179484778535e-6,-5.548680704676589e-6,-5.676273073962297e-6,-5.727530432096996e-6,-6.013613267743398e-6,-5.740851116210817e-6,7.888607406975326e-7,2.5787492712856763e-6,-4.360163401363529e-5,-0.00011637285678304397
t28,-2.361580753247279e-6,7.618242360483762e-6,-1.0360864513209539e-5,-9.18176326726703e-6,-1.550844969867851e-5,2.264843040105012e-6,-6.155064508413512e-7,-7.56093042938777e-8,8.965831312159988e-7,8.839413985311665e-7,1.4756191573905275e-6,2.166815189377998e-6,2.046909263644781e-6,1.5403265322004792e-5,2.6037601663795732e-5,-5.869243701780384e-5,-3.8002390478791655e-5
t29,-3.272123946866395e-6,4.736265834382701e-6,-9.529130530535036e-6,-9.597391219524092e-6,-1.6088415861120272e-5,3.7899249599231146e-6,-1.9482400219432975e-6,-1.2884574019601152e-6,-1.5260278589249476e-7,-3.220807917406682e-7,7.834017752220101e-7,2.140003797950143e-6,1.943810721030741e-6,3.886428857779882e-5,9.645967923648552e-5,-8.804472622133861e-5,1.847420612187206e-5
