Zone,1,2,3,4,5,6,7,8,9,10,11
t63,-2.663148780882562e-17,-1.672098112783787e-16,-2.0919075488000015e-16,-1.2185233642651645e-16,-6.598236937573742e-16,-1.7761292284611778e-16,-1.135598418999431e-16,-4.050312362954767e-17,-9.970350148308252e-17,-2.234897658945895e-17,-7.004055591074237e-18
t64,-2.6687266993214992e-17,-1.6666473482070303e-16,-2.0845406519536135e-16,-1.2153488590240822e-16,-6.571724236899457e-16,-1.7709275728801831e-16,-1.1320876553766212e-16,-4.039025829116728e-17,-9.93492223693274e-17,-2.213764768050132e-17,-6.925895037654151e-18
t65,-2.661663471233174e-17,-1.637377760025866e-16,-2.0493729865083723e-16,-1.1924660089774297e-16,-6.512254832699617e-16,-1.7412739875638704e-16,-1.1106935827217405e-16,-3.9768131344221264e-17,-9.743407797352933e-17,-2.1987272450724764e-17,-6.858989760500031e-18
t66,-1.94559733277695e-17,-1.638358903091903e-16,-2.0504777556866836e-16,-1.1924453897004364e-16,-6.516143376447485e-16,-1.740170166966005e-16,-1.1103389382660351e-16,-3.9794267533929577e-17,-9.739558789099415e-17,-2.188834255823118e-17,-7.129896850735327e-18
t67,-2.6779252189209292e-17,-1.6732938718294791e-16,-2.0915925180792224e-16,-1.216491432248932e-16,-6.671703591138402e-16,-1.7769172541655504e-16,-1.1356407252257155e-16,-4.065446787406225e-17,-9.933246380320818e-17,-2.217464566734417e-17,-7.265797619942651e-18
t68,-2.7165034992427385e-17,-1.7309125081071444e-16,-2.1650850085749234e-16,-1.2606901053724238e-16,-6.869823250009194e-16,-1.8388189127939616e-16,-1.1738305379673773e-16,-4.188148072981736e-17,-1.0294233719971403e-16,-2.2520262510643314e-17,-7.279098753143454e-18
t69,-2.73412204297033e-17,-1.7316778705860004e-16,-2.1654669444516875e-16,-1.2607426138006607e-16,-6.865651605543063e-16,-1.8404139325804472e-16,-1.1744030907385192e-16,-4.1883198710555814e-17,-1.0299595870978656e-16,-2.2025803269135544e-17,-7.488410442890683e-18
t70,-2.7202849471042905e-17,-1.1797580205328788e-16,-1.5132769317059427e-16,-8.382557921664351e-17,-6.411609669153402e-16,-1.2627899241292244e-16,-7.784225406649781e-17,-2.7442026391021364e-17,-6.783374471713132e-17,-1.4116991576773894e-17,-5.281840183087145e-18
t71,-2.824196095166472e-17,-1.2608334499564656e-16,-1.6209704800182916e-16,-8.918843201186645e-17,-6.936494436665549e-16,-1.349771731241986e-16,-8.283785552955296e-17,-2.913438821038076e-17,-7.204882518962856e-17,-1.5113296642449643e-17,-5.5629718958737596e-18
t72,-3.0482370079950735e-17,-1.3715626530276654e-16,-1.7694276250881697e-16,-9.663177314461217e-17,-7.613374744026336e-16,-1.4711405924865707e-16,-8.964765174946228e-17,-3.145422907066354e-17,-7.785982095701975e-17,-1.6293053421634606e-17,-5.948703930708658e-18
t73,-3.3547037390993235e-17,-2.1604261007212297e-16,-2.6842328714110584e-16,-1.5648379713387004e-16,-8.70749921476209e-16,-2.2942910052270404e-16,-1.4563482122959627e-16,-5.1560303028884066e-17,-1.2758299960475507e-16,-1.7402480825214063e-17,-6.31002702023492e-18
t74,-3.562020119305666e-17,-1.5653713336587446e-16,-2.027475822327979e-16,-1.0940675282132285e-16,-8.847744437982335e-16,-1.678917171649411e-16,-1.0137196307955695e-16,-3.5306042652761945e-17,-8.789416804522135e-17,-1.8045034139394915e-17,-6.563302842407209e-18
